id            ,speaker_utterance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,listener_utterance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,empathy
sub_1_conv_6  ,"Yeah, right? It's like they don't understand that we actually have a life and things to do outside of work, right?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"Yes, true."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,      1
sub_1_conv_6  ,"That sucks, honestly"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,"Yes, I agree"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      1
sub_1_conv_7  ,"So I saw someone outside just buy ice cream, but they pulled out like one of those packets and put mayo on it. They were eating that like right outside, like vanilla ice cream and mayo."                                                                                                                                                                                                                                                                                                                                                                                                           ,"I can't imagine, that's so disgusting yes"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      1
sub_1_conv_7  ,I have no idea how they ended up like doing that like there's a point where sweet and sour is just no excuse you know                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,I really can't imagine. I never want to try that.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,      1
sub_1_conv_8  ,"So I'm really looking forward to having a trip overseas. I've been looking forward to this for a while and now that it's a month away I feel like it's already here, you know?"                                                                                                                                                                                                                                                                                                                                                                                                                      ,"Yes, me too. And where do you want to go if it's possible?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,      1
sub_1_conv_8  ,"I'm going to take a trip to Pakistan. I'm going to see a very different culture from mine. And I won that in a contest, so I feel like I'm very blessed."                                                                                                                                                                                                                                                                                                                                                                                                                                            ,I think that will be very interesting                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,      1
sub_2_conv_1  ,So I used to live near a place that had like a lot of rich people properties. Like people with jet skis and all-terrain vehicles and all of that stuff. And it made me feel like really sad that I could never afford that kind of stuff and people just like use them regularly it was kind of depressing                                                                                                                                                                                                                                                                                            ,I could see how that's really depressing is there like any way you got over that?                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,      2
sub_2_conv_1  ,At some point I just made peace with it and just realized that some other people are having like better lives thanks to chance. But yeah it still bothered me sometimes.                                                                                                                                                                                                                                                                                                                                                                                                                              ,"Yeah, I think that's a healthy way to think about it. Yeah, a lot of things in life is just... has to do with luck."                                                                                                                                                                                                                                                                                                                                                                                                                                  ,      2
sub_2_conv_1  ,"Yeah, we just have to keep on keeping on and I guess... do the best with what we have, right?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"Yeah, I think so."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      2
sub_2_conv_2  ,So once I was in my house and there came a really really big spider out of the ceiling and I didn't want to kill it so I just thrust it to like for it to fall on my hand and then and just went to the window and threw it away.                                                                                                                                                                                                                                                                                                                                                                     ,"You're very trustworthy of bugs. Like, how do you know that it's not like a spider that could harm you? Like, if it's hanging, it's like kind of far, right?"                                                                                                                                                                                                                                                                                                                                                                                         ,      1
sub_2_conv_2  ,"I didn't know, actually, but I figured that if it continued to go down into the bottom of my hand, that it would be fine."                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"That's really interesting, because if I saw any spider, I would probably just want to get rid of it at any cost. I probably wouldn't care if I had to kill it or not, because I would be too afraid that it would kill me or something."                                                                                                                                                                                                                                                                                                              ,      1
sub_2_conv_2  ,"Yeah, but they're animals. They're not going to hurt me, I think. I mean, some of them have venom and stuff."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,I think that's just really trusting of something that you don't really know how it thinks.                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      1
sub_2_conv_3  ,So the other day I was really afraid because I think I saw someone die. There was someone that was going down the stairs at one of the stations and he fell and I thought he was going to be okay but he wasn't moving and there was blood and stuff. I didn't stay there but it was a very frightening experience.                                                                                                                                                                                                                                                                                   ,"Oh god, that sounds terrifying. Did you ask for help? Did someone help them or did you just leave? What happened? And are you okay?"                                                                                                                                                                                                                                                                                                                                                                                                                  ,      3
sub_2_conv_3  ,"Yeah, I'm fine now. A lot of people just congregated around and then like the police came and they like carted off the area and stuff. But oh man, that was really terrifying at the moment."                                                                                                                                                                                                                                                                                                                                                                                                        ,"Yeah, that's... I would hope that you'd never experience that again. I hope I'd never see that kind of thing happen. I hope they're okay. But yeah, good to know that you're doing okay."                                                                                                                                                                                                                                                                                                                                                             ,      3
sub_2_conv_4  ,"So I don't really trust those dating apps and stuff, so I recently had the help of a friend to set me up on a blind date and it really went well, I had a lot of fun and it shows that sometimes like going the traditional route is better than using all that fancy technology"                                                                                                                                                                                                                                                                                                                    ,yeah i feel like i've never had luck with that either like usually i mean going for friends or friends is like one of the best ways um but like what kind of stuff did you do like was it fun                                                                                                                                                                                                                                                                                                                                                          ,      2
sub_2_conv_4  ,oh we went to an amusement park and then we went to watch a movie and we ended up like with a really not that fancy dinner but it was like a really good dinner you know and we ended up talking for hours and it went it went really well. I'm really glad that I decided to go with that experience.                                                                                                                                                                                                                                                                                                ,Well that sounds like a really good first date. I think that's very surprising because I feel like usually first dates are very hit or miss                                                                                                                                                                                                                                                                                                                                                                                                            ,      2
sub_2_conv_4  ,"Yeah, I've had ones that haven't gone that well, but it's really refreshing to have a different experience in that field."                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Yeah, glad to hear it."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,      2
sub_2_conv_5  ,I have a presentation right now at work and I have been doing my best to like get everything right and everything and instead of being nervous I'm really looking forward to it because I know I will like completely ace it you know? Do a really really good job there.                                                                                                                                                                                                                                                                                                                             ,"Oh, that's really interesting. I've never thought of presentations like that. I'm always scared of them. Like, will it go well? What if I screw up? I always have in my mind something of a backup plan. If this goes wrong, then do this kind of thing. Yeah, that's really interesting to hear. I don't think I've ever heard someone say something like that before."                                                                                                                                                                              ,      1
sub_2_conv_5  ,"Yeah, I'm usually on the same boat, but right now I feel like I have gotten everything ready and I've done my research and everything is like really solid. So, um, like, surprisingly, I'm really looking forward to it. And I hope that at the end I will be doing, like, even better. I'll be happy. So, yeah, that's, like you said, it's really weird, but it's really great."                                                                                                                                                                                                                  ,"Yeah, that sounds great. Hope it goes well."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,      1
sub_2_conv_6  ,I forgot to take out the trash for like a few days and now it's kind of smelling really really bad it's like almost suffocating inside of my house and so I I take took it out like before the trash man comes so now I feel kind of bad because people will go and pass next to the collection site and they will smell it but I mean what can I do you know                                                                                                                                                                                                                                         ,yeah that sounds terrible to have in your house. I hope it wasn't out there for too long.                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,      1
sub_2_conv_6  ,"It wasn't far, well I don't know. So far it hasn't been collected so I don't know it's it's like still smells bad because of course it's going to smell bad but but it's now outside and I guess that's better? I feel really bad about the people that pass through. So, well."                                                                                                                                                                                                                                                                                                                     ,"I mean, how long has it been? Like it's probably worse in this heat. So I really hope it gets out soon."                                                                                                                                                                                                                                                                                                                                                                                                                                              ,      1
sub_2_conv_8  ,So I've been working on a different time zone than my family. I recently was very surprised when I sent a message and my little cousins just answered me immediately because it was like 4 a.m. in the morning. and they said that they were still like watching TV and doing stuff even though it was like a school night                                                                                                                                                                                                                                                                            ,honestly I've been I've been the other I've been that person that's responding at four am yeah I hope they got a decent night's sleep                                                                                                                                                                                                                                                                                                                                                                                                                  ,      2
sub_2_conv_8  ,"Yeah, I mean I was just like very surprised. It was like, you should be getting some sleep, right? I won't say I'm like better than that, but still it was kind of surprising to have like an immediate tex back, you know?"                                                                                                                                                                                                                                                                                                                                                                         ,"Yeah, I mean it was probably a nice surprise in a way though, right?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,      2
sub_3_conv_1  ,nice that is I didn't know that actually it's really interesting I've heard it was done with coke but I had to check that I'm going to set it up like overnight but yeah I may actually check that and see if I can do that.                                                                                                                                                                                                                                                                                                                                                                          ,"I think it's also supposed to be with Coke, but you can do it with Sprite. And the thing with Sprite is that it also has citrus, a little citrusy flavor to it, whereas Coke is just kind of like the sweet, syrupy kind of stuff. So I guess it depends on what you're looking for for the meat. also like the coke would give it a better color because the sprite it just kind of left it like gray but it tasted good it just wasn't like it didn't look good if that makes sense"                                                                ,      1
sub_3_conv_2  ,So one of our friends actually has been working on research as well and it's been like only a year that she's been working on that but she has managed to put out five papers like as first and goddamn and that is like really surprising to me because that is like really impressive right?                                                                                                                                                                                                                                                                                                        ,"That's super impressive and I mean I can't believe that someone has the time to write that many papers, be first and second author and do all of that. I can't imagine doing that myself. Do you think you could pull off something like that? I feel like you could. I feel like you have all the skills and the knowledge to do it. I mean, you've been doing this for so long. That's something that you probably could do, but would it be something that you wanted to do?"                                                                      ,      3
sub_3_conv_3  ,"Something that really grossed me out recently is when I bought a coffee from Starbucks and suddenly I opened it and a fly flew out. So it apparently was inside of the coffee when they were doing the... they would they pour it out, pour it in and then close it and yeah that is that is pretty gross I think."                                                                                                                                                                                                                                                                                  ,How did it survive boiling hot coffee? Like poured onto it? Like you're saying that it was like they poured around it and they knew it was there? Like I don't really see how else it could like really escape the the cup necessarily                                                                                                                                                                                                                                                                                                                 ,      3
sub_3_conv_3  ,I actually have no idea how it ended up going there but like I assume it might have gone inside after it was burned or something but the fact that it was inside of the cup is like really concerning you know                                                                                                                                                                                                                                                                                                                                                                                        ,"Yeah, it's kind of like just insanely gross. And did you like return the coffee or did you just like drink it still?"                                                                                                                                                                                                                                                                                                                                                                                                                                 ,      3
sub_3_conv_3  ,"Oh no, I just poured it out on the nearby plant and went to get something else because it was gross. I didn't want to risk it, you know?"                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,"you tell them and get a free coffee? Like, I do think that they'd probably be fine with that if you said, hey, you know, a bug flew into my drink before I even could take it from you, before I even left the establishment."                                                                                                                                                                                                                                                                                                                        ,      3
