speaker_utterance,listener_utterance,usable,id,Empathy_1,Empathy_2,final_label
What do you like Lipgloss?,"I don’t know. I can answer that another time.
",1,ND_5,1,1,1
I chose this avatar cause I ate fish yesterday,What type of fish?,1,JA_1,1,3,3
You know maguro? I had it yesterday,Oh! Yum! Is that your favorite food?,1,JA_1,3,3,3
I chose this because I like cheese,Oh same! We all like cheese,1,JA_1,3,3,3
I chose this one cause it is the same,Good choice,1,JA_1,1,1,1
I like playing rock songs,Rock! Good I like metal,1,JA_1,3,1,3
What is your favorite music band?,I like Black Sabbath,1,JA_1,1,1,1
Very nice I always listen to black Sabbath,My sister has a very different type of music taste,1,JA_1,1,1,1
I play the flute and I like listening to pop music and recently went to a concert. Have you guys been to any concert?,I can play the trumpet. Ever since grade school I have played the trumpet,1,JA_1,3,1,3
Do you have any pets? another pet?,Yes I have a bird and I used to have dog. Do you have pets? ,1,JA_1,3,3,3
"No, I am allergic",What is your favorite animal?,1,JA_1,1,3,1
Cat!,Yay! Have you been to a cat café in Tokyo?,1,JA_1,4,3,4
"No, I have allergy","Oh, yeah that does not help. If you had any pet what would it be?",1,JA_1,5,3,4
I had a beetle ,Wow do you like dogs?,1,JA_1,1,3,3
Yeah,You have a favorite breed?,1,JA_1,1,1,1
Do you know the Japanese one?,"Oh yeah, we saw a lot of Shibas",1,JA_1,1,1,1
I chose my avatar to be a donut because I live eating donuts.,Me too. Delicious! ,1,AJ_1,3,3,3
I chose my avatar to be a fried egg because I ate a fried egg this morning.,Ahh! I love fried eggs. ,1,JA_2,3,1,3
I took this picture during summer vacation. It is a summer festival. It is a picture of Bon Dance.,How often is this festival? Is it only one day? Or once a year?,1,JA_2,3,3,3
It is once a year.,Ohh once a year. Is it always at night?,1,JA_2,3,3,3
"Yes, Bon Dance is performed at night.","Oh, very interesting.",1,JA_2,3,3,3
 This is a picture of my band festival. We took it during a school festival. I play the trombone.,We also play instruments. It is super fun. I play the flute. ,1,JA_3,4,1,4
That is nice!,I also play the French Horn. Maybe it is called different in Japanese. It is the curled one.,1,JA_3,4,1,3
Ohh I see. ,How long have you been playing the trombone?,1,JA_3,3,3,3
Only two years.,Two years! Wow! That is exciting.,1,JA_3,4,3,3
 I took this picture at a festival for girls.,Do you need to go to a place to see what you show in the picture?,1,JA_4,3,3,3
"No, this one is at my house. ",Nice!,1,JA_4,3,1,1
My grandmother made these dolls in the picture.,She is very talented.,1,AJ_2,3,1,3
This is a soccer match at a field near the place where I live.,What sports do you play?,1,AJ_2,3,3,3
I do swimming because I live close to the beach. I also play tag rugby. ,wow! Really!,1,AJ_2,3,3,3
Do you guys play any sport? ,I like basketball.,1,AJ_2,3,1,1
This is me getting graded. I do Brazilian jiu-jitsu. This is a gray belt which is one from white bell.,Good job! Is white bell the top one?,1,JA_3,4,5,5
"No, white bell is the lowest one.",Oh! Hahaha.,1,JA_3,4,1,3
"Do you know karate?
","Yes, I used to do it when I was little.",1,JA_3,4,1,1
Do you do karate?,Only a little bit. Not too much.,1,JA_3,4,1,1
What style do you do?,Only the elementary school type.,1,JA_3,3,1,2
This is a photo with my friends at a concert in Sydney. We had a really fun night.,Did you make your dress?,1,AJ_3,2,3,3
I didn’t make my dress but I made my bracelets. Also the decorated parts. ,Nice!,1,AJ_3,2,1,2
Do you guys know who Taylor Swift is? Do you know any of her songs?,"No, sorry.",1,AJ_3,2,1,2
What do you listen to?,I listen to a famous Japanese artist called Yonezu. Do you know it?,1,AJ_3,2,3,3
"No, is it very famous? ","Yeah, at least in Japan. He makes songs for animations and openings. ",1,AJ_3,2,1,2
"My favorite subject at school is English. I like reading and writing. I love everything related to books. And I express my creativity with drama, acting.",I cook and I like playing the piano,1,AJ_4,2,1,2
It sounds fun. What is your favorite thing to cook?,I like cupcakes. ,1,AJ_4,2,1,2
"During Christmas, we meet up with family and we eat lunch. It is during the summer, so we have a barbecue or we go to the beach to swim.",Many people like sleeping in their beds with mandarins. I like eating soup with mochi. But you can get fat if you eat too much mochi.,1,AJ_5,2,1,2
