text,label,classification_label,reason,arousal,valence,who,sentiment,emotional_reaction,interpretations,explorations
yeah that sounds terrible to have in your house. I hope it wasn't out there for too long.,0,2,"The utterance expresses understanding and concern for the other person's situation, indicating a recognition of their feelings and a desire to provide support.",0.5,-0.5,1,0,1,1,0
"I mean, how long has it been? Like it's probably worse in this heat. So I really hope it gets out soon.",0,0,"The utterance expresses concern about a situation, indicating an understanding of the discomfort caused by the heat. However, it does not explicitly seek empathy or provide a strong empathetic response. It is more of a factual observation and a hope for improvement rather than a deep emotional engagement.",0,0,2,2,0,0,0
honestly I've been I've been the other I've been that person that's responding at four am yeah I hope they got a decent night's sleep,2,2,"The utterance reflects a personal experience of being in a similar situation, indicating an understanding of the feelings of others who may be responding late at night. It shows empathy towards those individuals, suggesting a recognition of their potential struggles.",0,0,2,2,0,1,0
"Yeah, I mean it was probably a nice surprise in a way though, right?",2,2,"The utterance reflects an attempt to provide a positive perspective on a situation, suggesting an understanding of the other person's feelings and encouraging them to see the situation in a more favorable light. This indicates an effort to provide empathy.",0.2,0.5,1,1,0,1,0
"I think it's also supposed to be with Coke, but you can do it with Sprite. And the thing with Sprite is that it also has citrus, a little citrusy flavor to it, whereas Coke is just kind of like the sweet, syrupy kind of stuff. So I guess it depends on what you're looking for for the meat. also like the coke would give it a better color because the sprite it just kind of left it like gray but it tasted good it just wasn't like it didn't look good if that makes sense",0,0,The utterance is primarily focused on discussing the differences between Coke and Sprite in terms of flavor and appearance when used with meat. It does not express any emotional needs or provide emotional support to another person.,0,1,2,2,0,0,0
"That's super impressive and I mean I can't believe that someone has the time to write that many papers, be first and second author and do all of that. I can't imagine doing that myself. Do you think you could pull off something like that? I feel like you could. I feel like you have all the skills and the knowledge to do it. I mean, you've been doing this for so long. That's something that you probably could do, but would it be something that you wanted to do?",2,2,"The utterance expresses admiration and encouragement towards the other person, acknowledging their skills and achievements while also prompting them to reflect on their own desires and capabilities. This indicates a supportive interaction where the speaker is providing empathy.",0.5,1,1,1,1,1,1
How did it survive boiling hot coffee? Like poured onto it? Like you're saying that it was like they poured around it and they knew it was there? Like I don't really see how else it could like really escape the the cup necessarily,2,0,The utterance is primarily focused on seeking clarification and understanding about a situation rather than expressing or acknowledging feelings. It does not demonstrate a need for empathy or provide empathy to another person.,0,0,0,2,0,0,0
"Yeah, it's kind of like just insanely gross. And did you like return the coffee or did you just like drink it still?",2,0,"The utterance expresses a negative sentiment about a situation (the coffee being ""insanely gross"") but does not seek or provide empathy. It is more of a casual inquiry about the other person's actions regarding the coffee.",0.5,-0.5,1,0,0,0,0
"you tell them and get a free coffee? Like, I do think that they'd probably be fine with that if you said, hey, you know, a bug flew into my drink before I even could take it from you, before I even left the establishment.",2,0,"The utterance appears to be providing advice or a suggestion to someone about how to handle a situation involving a bug in their drink. It does not express a need for understanding or emotional support, nor does it explicitly acknowledge the feelings of another person. Instead, it focuses on a practical solution to a problem.",0,1,1,2,0,0,0
"Like, who cares if he's upset? right like he's gonna be he's gonna be hurting no matter what and what you're doing is setting your boundaries not setting not you're not like encroaching on his you're saying my boundaries are here i'm not comfortable with this i understand that you feel differently if this makes you upset then maybe it's something to think about whether you value a friendship where i don't hurt you or if you value a relationship where you're constantly getting hurt",2,2,"The utterance expresses an understanding of another person's feelings while also asserting personal boundaries. It acknowledges the other person's emotional state and encourages reflection on the relationship dynamics, indicating a provision of empathy.",0.5,0.2,1,1,1,1,1
"Yeah, I can understand how that would suck. I have never been able to relate to something like that. So yeah, all I can do is kind of imagine myself in your situation. I don't know what I would be doing either, just constantly stressed out, probably not sleeping well. Was that also affecting you? Did you find that you couldn't enjoy the normal things in your life because you were so just constantly in the back of your head worried about this kind of situation?",2,2,"The utterance demonstrates an understanding of the other person's feelings and expresses a desire to connect with their experience. The speaker acknowledges the difficulty of the situation and attempts to relate to it, which indicates providing empathy. Additionally, the speaker asks specific questions to help the other person explore their emotions further.",0.5,-0.5,1,0,1,1,1
"Yeah, and I mean there's something to be said for like once you get through that situation you kind of have the knowledge and the experience of like okay the next time it happens I know I can deal with it and I know I can get through it so you know there's also like that kind of aspect of like what doesn't kill you makes you stronger.",2,0,"The utterance reflects a personal reflection on overcoming challenges and gaining strength from past experiences. It does not explicitly seek empathy or provide it to another person; rather, it focuses on the speaker's own growth and resilience.",0.2,0.5,0,1,0,0,0
"Yeah, yeah, that's pretty good. I mean, like, that's a lot of cooking, man. Like, 20 people's worth of food. I don't think no matter how much technology we have, that's still going to be a real pain in the butt to just kind of get through all of that. So that's cool. I mean, I'm glad that everyone enjoyed the food, at least.",0,0,"The utterance reflects a straightforward acknowledgment of a situation without expressing a need for understanding or emotional connection. It discusses the logistics of cooking for a large group and expresses a mild positive sentiment about others enjoying the food, but it does not seek or provide empathy.",0,1,0,1,0,0,0
Was it expensive? I think unless the people are like helping chip in for the food if you're buying enough food for 20 people like that's got to be you know pretty sizable kind of like amount of money also it was it like a celebration or it was just kind of like meeting up with friends like what was the occasion?,0,0,The utterance is primarily focused on gathering information about a situation rather than expressing or acknowledging feelings. It does not indicate a need for empathy or an understanding of another's emotions.,0,0,2,2,0,0,0
Did you end up like getting help from anyone else while cooking or it was just you solo kind of thing?,0,0,"The utterance is a question directed towards another person, inquiring about their experience while cooking. It does not express a need for empathy or provide empathetic understanding; rather, it seeks information about the other person's situation.",0,2,1,2,0,0,0
"Yeah, that's tough. Yeah, but I mean, like, at least the party, like, was saved. You know, you stepped in, kind of, like, put all the elbow grease in, and I hope your niece is happy and that just the rest went off without a hitch.",2,2,"The utterance acknowledges the difficulty of the situation while also providing reassurance and support, indicating an understanding of the other person's feelings and efforts. It reflects a positive sentiment towards the other person's actions and expresses hope for a positive outcome, which aligns with providing empathy.",0.5,1,1,1,1,1,0
What makes you so surprised about your brother being able to do so?,0,2,"The utterance is a question directed towards the other person, seeking to understand their feelings or thoughts about their brother's abilities. It indicates an interest in the other person's emotional state, which aligns with providing empathy.",0,1,1,2,0,1,1
Well I guess at some point a man needs to find help to do it by himself.,0,0,"The utterance reflects a sense of self-reliance and acknowledgment of the need for help, but it does not explicitly seek or provide empathy. It is more of a statement about personal growth or realization rather than an emotional exchange.",0,0,0,2,0,0,0
"That's so amazing, your nephew. How long has he been playing football?",2,0,"The utterance is focused on asking about the nephew's experience with football, which indicates a straightforward inquiry rather than an expression of empathy. There is no indication of seeking or providing empathy in this context.",0,1,2,1,0,0,0
it must be a very interesting experience for him like to experience the big stage such a young age would be I think would be a lot for his development too Do you think he has big chance for this event?,2,0,"The utterance reflects curiosity and consideration about another person's experience, indicating an understanding of the potential emotional impact of being on a big stage at a young age. However, it does not explicitly seek or provide empathy, as it is more focused on discussing the situation rather than expressing feelings or emotions.",0,1,2,2,0,0,0
yeah I also hope all the best for him as well great for him to like challenge himself to be a very big challenge I think this is also a great time to improve his capabilities,2,2,"The utterance expresses a positive sentiment towards another person's challenges and growth, indicating an understanding and supportive stance. It reflects a desire to acknowledge the other person's efforts and potential for improvement, which aligns with providing empathy.",0.5,1,1,1,1,1,0
"Wow, I can really feel you man. I usually cook by myself and I already feel that sometimes it's a bit too much especially after a long day of working, coming back, having to cook just for yourself. It's already been tiring. I cannot imagine how you have to cook like seven people and it's not just one or two dishes, seven different dishes, different ingredients, everything. well, that must be a big pain",2,2,"The utterance expresses understanding and shared feelings regarding the challenges of cooking for multiple people, indicating a strong empathetic response to the other person's situation.",0.5,0,1,1,1,1,1
"Yeah, I can see how you feel. I think that's also definitely a big problem. Living in a big family that you're having right now, seven people, all living together, everyone has different ideas. That's kind of unavoidable, I think, because everyone's different. How about you like asking everyone to agree with something beforehand like few days beforehand for example so that at least you have some preparations. I think that would help a little bit.",2,2,"The utterance demonstrates an understanding of the other person's feelings about living in a big family and acknowledges the challenges that come with it. The speaker provides suggestions to help the other person navigate their situation, indicating a supportive and empathetic response.",0.2,0.5,1,1,1,1,1
"Yeah that's true I mean it's your family members, people are closest to you so just be open I think they should be listening to you as well. If they care about you. And I believe in the end, you find the same voice in certain things. It's not like you're forcing everyone to eat the same thing, but maybe have at least some agreement. Like maybe eating chicken, just prepared differently. Not eating like someone eat fish, someone shrimp, someone beef, at the same time. That would be a nightmare.",2,2,"The utterance expresses understanding and provides advice on how to communicate with family members, indicating a supportive and empathetic stance towards the listener's situation. It acknowledges the importance of being open and finding common ground, which aligns with providing empathy.",0.2,0.5,1,1,1,1,0
I think yeah that's true yeah I feel like also connections in the modern world kind of like fading away people have less and less and less time together like with all the things around like work going on too many connections like they're too easy to meet many people right now but it's feel more difficult to build like strong deeper connections that you can trust each other so something like that that you experience really rare and really something I wish I can cherish so everyone should be able to have such friends in their life,2,1,"The utterance expresses a personal reflection on the challenges of forming deep connections in the modern world, indicating a desire for understanding and acknowledgment of these feelings. It conveys a sense of longing for meaningful relationships, which aligns with seeking empathy.",0.5,-0.2,0,0,-1,-1,-1
"Wow, that's something that's something a surprise for me. Like for your order to come one week early, that's something not expected definitely. Usually we expect that they come either on time or in some case even later than they're supposed to be. And definitely that's something to be happy with. What did you buy anyway?",2,0,"The utterance expresses surprise and positivity about the other person's experience with their order arriving early. It acknowledges the unexpected nature of the situation and encourages further conversation about it, but it does not explicitly seek or provide empathy.",0.5,1,1,1,0,0,0
well that's even more impressive actually like sending everything across the continent in orders and in perfect conditions all that this guy really knows how to do business and well I guess they win a new customer from now on yeah I'm glad that you happy with your purchase,2,0,The utterance primarily focuses on expressing admiration for someone's business acumen and the satisfaction of the speaker regarding a purchase. It does not seek or provide empathy but rather conveys a positive sentiment about a transaction.,0.5,1,0,1,0,0,0
what an experience you have there yeah and it's like you said it's in the middle of the night right it must be everything is quiet and suddenly you hear the sound on your windows and was it in mexico,2,2,"The utterance reflects an understanding of the other person's experience and acknowledges the emotional context of the situation, indicating a connection to their feelings. The speaker is providing empathy by recognizing the quietness of the night and the suddenness of the sound, which suggests they are trying to relate to the other person's experience.",0,1,1,1,1,1,0
yeah what an experience So did you check out what happened after that? Like did you check out the bat or call anyone?,2,0,"The utterance is primarily focused on asking about the other person's actions and experiences following an event, indicating a curiosity about their situation rather than expressing or seeking emotional support. It does not demonstrate a need for empathy or provide empathetic understanding.",0,2,1,2,0,0,0
"yeah I know like Spooky experience, middle of the night with the bat.",2,0,"The utterance reflects a personal experience that may evoke feelings of fear or surprise, but it does not explicitly seek or provide empathy. It is more of a statement about an experience rather than an expression of feelings that require acknowledgment or understanding from another person.",0.5,0,0,2,0,0,0
"Oh, I didn't expect that to happen to you. Did he say or explain to you what happened? Or like he just completely forgot about it and just like let it slide by without saying any word?",2,2,"The utterance expresses surprise and curiosity about the other person's experience, indicating an interest in understanding their feelings and situation. The questions posed suggest an effort to explore the other person's emotions and thoughts regarding the incident, which aligns with providing empathy.",0.5,0.2,1,2,1,1,1
"Yeah, that sounds pretty weird, but why do you think he does that?",0,0,"The utterance is primarily focused on seeking clarification about another person's behavior rather than expressing or acknowledging feelings. It does not indicate a need for emotional support or understanding, nor does it provide empathy to someone else.",0,2,2,2,0,0,0
"Does he put back something in it or like, is it just always taking stuff from it?",0,0,"The utterance is a straightforward inquiry about a specific action or behavior, lacking emotional content or a need for empathy. It does not express feelings or seek understanding.",0,2,2,2,0,0,0
"Yeah, that sounds horrible. It's pretty douchey",2,2,"The utterance expresses understanding and acknowledgment of someone else's negative experience, indicating a response to their feelings. It reflects a strong emotional reaction to the situation described, suggesting empathy is being provided.",0.5,-0.7,1,0,1,1,0
Did you try clearing the cache of your browser?,0,0,The utterance is a straightforward suggestion regarding a technical issue and does not express or seek emotional understanding.,0,2,2,2,0,0,0
"Sometimes that causes some issue, but like you can always try that. But yeah, like what network are you using?",0,0,"The utterance is primarily focused on providing information and asking a question about the network being used. It does not express a need for emotional support or understanding, nor does it demonstrate an understanding of the other person's feelings.",0,2,2,2,0,0,0
How much are you paying for it?,0,0,The utterance is a straightforward inquiry about a financial matter and does not express or seek emotional understanding or connection.,0,2,1,2,0,0,0
"Then I guess you have like a cheap network man, get it upgraded.",0,0,The utterance is a straightforward suggestion regarding a network issue and does not express or seek emotional understanding or connection. It is fact-oriented and lacks any empathetic elements.,0,0,2,2,0,0,0
"Good for you, good for you man.",0,0,"The utterance ""Good for you, good for you man"" appears to express a positive sentiment but does not indicate a need for empathy or an understanding of another's feelings. It seems more like a congratulatory or neutral acknowledgment rather than a deep emotional engagement.",0.5,1,1,1,0,0,0
"Yeah, that's great to hear, like you have a positive outlook on life.",0,2,"The utterance acknowledges and appreciates the other person's positive outlook, indicating an understanding of their feelings and providing a supportive response.",0.5,1,1,1,1,1,0
How is that possible like you always like snooze it five to ten times before you actually like wake up? Did you sleep early tonight or yesterday or what?,0,0,"The utterance is primarily focused on asking about the other person's sleeping habits and experiences, indicating curiosity rather than a need for empathy or an expression of understanding. It does not seek to acknowledge feelings or provide emotional support.",0,2,1,2,0,0,0
Maybe you ate something weird yesterday that's why sometimes stomach problems can cause people to have weird sleep-sick schedules or something.,0,0,"The utterance provides a possible explanation for someone's stomach problems and their impact on sleep, indicating an understanding of the situation but lacks a direct emotional connection or acknowledgment of feelings.",0,0,2,2,0,0,0
"Okay. By the way, what did you eat yesterday? Did you drink a lot of coffee?",0,0,"The utterance is a straightforward inquiry about the other person's eating and drinking habits, lacking any emotional depth or acknowledgment of feelings. It does not seek or provide empathy.",0,2,1,2,0,0,0
There you have it.,0,0,"The utterance ""There you have it."" is a straightforward statement that does not express a need for empathy or provide empathy to another person. It appears to be a factual or conclusive remark rather than an emotional or empathetic one.",0,2,2,2,0,0,0
did you get home before the storm or like did you end up actually being in the storm and lightning is pretty scary man,2,2,"The utterance expresses concern for the other person's experience during a storm, indicating an understanding of the fear associated with it. It seeks to engage the other person in a conversation about their feelings and experiences related to the storm, which aligns with providing empathy.",0.5,0.2,1,1,1,1,1
Do you know of any incidents where it happened in real life?,0,0,"The utterance is a straightforward question seeking information about real-life incidents, without any emotional content or need for empathy.",0,2,2,2,0,0,0
wait like so you can survive when you get stuck by lightning,0,0,The utterance does not express a need for empathy or provide empathy; it appears to be a factual statement about survival in a specific situation.,0,0,2,2,0,0,0
oh that's surprising,0,0,"The utterance ""oh that's surprising"" does not express a need for empathy or provide empathy. It is a neutral reaction to an unexpected situation without any emotional depth or acknowledgment of feelings.",0,0,2,2,0,0,0
"What? See, like what do you mean you couldn't catch it? Like how strong was the wind?",0,0,The utterance is focused on seeking clarification about a situation rather than expressing or acknowledging feelings. It does not demonstrate a need for empathy or an understanding of another's emotions.,0,2,2,2,0,0,0
What bill was it like was it like small bill or a big bill?,0,0,"The utterance is a straightforward inquiry about the size of a bill, lacking emotional content or a need for empathy. It does not express feelings or seek understanding.",0,2,2,2,0,0,0
"Yeah, losing money no matter how small or how little is kind of sad",0,1,"The utterance expresses a personal feeling of sadness related to losing money, indicating a need for recognition of that feeling. It does not directly seek a response from another person but reflects an emotional state that could invite empathy.",0.3,-0.5,0,0,-1,-1,-1
"You have a good group of friends, man. My friends are like the opposite of that.",2,1,"The utterance expresses a contrast between the speaker's experience and the listener's, indicating a need for understanding and validation of feelings regarding friendships. This suggests a seeking of empathy.",0.2,-0.5,0,0,-1,-1,-1
"I don't know, man. I just somehow get attracted to people who are mean and stuff.",0,1,"The utterance expresses a personal struggle with attraction to negative traits in others, indicating a need for understanding and validation of feelings. It reflects a sense of confusion and vulnerability, which aligns with seeking empathy.",0.2,-0.3,0,0,-1,-1,-1
I think so too.,0,0,"The utterance ""I think so too"" is a simple agreement statement that does not express any emotional depth or need for empathy. It does not indicate a desire to be heard or understood, nor does it provide any empathetic response to another person's feelings.",0,2,2,2,0,0,0
"Yeah, best moments ever when you just go through something or you spend lots of time on something and you just actually finally make it through. It's really, really nice.",2,0,"The utterance reflects a positive sentiment about overcoming challenges and achieving success, indicating a personal experience rather than a direct expression of empathy towards another person. It does not seek or provide empathy but rather shares a personal reflection.",0.5,1,0,1,0,0,0
yeah like i i think like most of the times like like when i'm like achieving something or something like that like when i graduated like i felt like yeah like i'm supposed to graduate right so didn't feel it that way but like i felt joy in other places I really enjoy playing video games. Like when I finish a video game after spending like 20-30 hours on it I feel like you know,2,0,"The utterance reflects a personal experience of achievement and joy, particularly in relation to graduation and playing video games. However, it does not explicitly seek empathy or provide empathy to another person. The focus is primarily on the speaker's feelings and experiences without an invitation for understanding or support from others.",0.5,0.6,0,1,0,0,0
"Yeah, that kind of feeling",2,0,"The utterance ""Yeah, that kind of feeling"" suggests a recognition of an emotional state but does not explicitly seek or provide empathy. It lacks a clear expression of personal feelings or a direct acknowledgment of another's feelings.",0,0,0,2,0,0,0
"That sounds interesting. I'd like to share my moment about happiness that when I gave birth to a daughter, I was very happy.",0,0,"The utterance expresses a personal experience of happiness related to giving birth, which indicates a sharing of positive emotions rather than seeking or providing empathy. It does not focus on the feelings of another person or seek acknowledgment of feelings.",0.5,1,0,1,1,0,0
"I think this is a very interesting design that people can share their emotions and have an interaction with Haru, the smartest robot in the world.",0,0,"The utterance is primarily focused on discussing a design and its features, without expressing personal feelings or seeking emotional support. It does not indicate a need for empathy or an understanding of another's feelings.",0,1,2,1,0,0,0
Oh so sad I can sense your feeling because we don't know what happened babies can't talk.,2,2,"The utterance expresses a strong emotional response to another person's feelings, indicating an understanding of their sadness and the situation involving babies who cannot communicate. This demonstrates a clear act of providing empathy.",0.5,-0.5,1,0,1,1,0
Oh as a mom I can't hear that I'm going to cry,2,1,"The utterance expresses a personal emotional reaction to a situation, indicating a need for understanding and support. The speaker is reflecting on their feelings as a mother, which suggests they are seeking empathy from others regarding their emotional state.",0.7,-0.6,0,0,-1,-1,-1
"Yeah, I think you should go home and look after your daughter.",2,2,"The utterance suggests a concern for the well-being of the other person and implies an understanding of their situation, indicating a desire to provide support.",0,1,1,1,0,1,0
"Yeah, home is the shelter for us and because we live in Japan, our parents are very far away from us, I think families living together is the most important person we have.",2,1,"The utterance reflects a personal sentiment about the importance of family and the emotional distance from parents, indicating a need for understanding and connection. It expresses feelings related to the speaker's situation, suggesting a desire to be heard and acknowledged.",0.2,0.5,0,1,-1,-1,-1
"I think you must be a good son, husband and dad in the family.",2,2,"The utterance expresses a positive acknowledgment of the other person's qualities and roles, indicating an understanding and appreciation of their situation. This aligns with providing empathy as it recognizes the efforts and attributes of the other person.",0.5,1,1,1,1,1,0
When your family are going to visit you?,0,0,"The utterance is a straightforward question about the timing of a family visit, which does not express or seek emotional understanding or connection.",0,2,2,2,0,0,0
Sounds great. So you can take them travel around in Japan,0,0,The utterance is a straightforward statement about travel plans and does not express or seek emotional understanding or connection.,0,1,2,1,0,0,0
"Oh no, what a sad news for you. It's like maybe we may lose contact with him because he's very far away. Sounds like we lose some connections in personal life.",2,2,"The utterance expresses understanding and concern for the other person's feelings regarding a sad situation, indicating a recognition of their emotional state and the potential loss of connection.",0.5,-0.5,1,0,1,1,0
I feel so sorry for you. I think maybe sometime you can visit him when you have time or he can go back to Japan and you can hang out together.,2,2,"The utterance expresses a strong emotional response to another person's situation, indicating understanding and concern for their feelings. It also suggests a potential solution or positive action, which aligns with providing empathy.",0.5,0.7,1,1,1,1,0
"Yeah, I think it's very hard to make new friends since we are adults.",2,1,"The utterance expresses a personal challenge regarding making new friends as an adult, indicating a need for understanding and acknowledgment of this difficulty.",0,0,0,2,-1,-1,-1
what how could this happen well that's incredible I can't believe this happened in your company,2,0,"The utterance expresses surprise and disbelief about an event that occurred in the other person's company, indicating a focus on the other person's experience. However, it does not explicitly seek or provide emotional support or understanding.",0.5,0.2,1,2,0,0,0
Oh I can't believe that. Did you report to the managers and check the surveillance?,0,0,"The utterance is focused on gathering information and suggesting actions related to a situation, rather than expressing or acknowledging feelings. It does not demonstrate a need for empathy or provide empathetic understanding.",0,0,2,2,0,0,0
Exactly. They should investigate it as soon as possible. They should prevent from doing from now on.,2,0,"The utterance is focused on a directive or opinion regarding an action that should be taken, without expressing or seeking emotional understanding or connection. It is straightforward and fact-oriented.",0,0,2,2,0,0,0
What?! You are so lucky! But you don't remember her name. You should ask for a signature.,2,0,"The utterance expresses surprise and excitement about someone else's luck, but it does not seek or provide empathy. It is more focused on a factual observation and suggestion rather than emotional understanding or support.",0.5,0.5,2,2,0,0,0
So she gave a talk and then left.,0,0,The utterance is a straightforward statement about an event without any emotional content or indication of seeking or providing empathy.,0,2,2,2,0,0,0
