text,label,classification_label,reason,arousal,valence,who,sentiment,emotional_reaction,interpretations,explorations
"Oh, that's really interesting. I've never thought of presentations like that. I'm always scared of them. Like, will it go well? What if I screw up? I always have in my mind something of a backup plan. If this goes wrong, then do this kind of thing. Yeah, that's really interesting to hear. I don't think I've ever heard someone say something like that before.                                                                                                                                                                              ",0,1,"The speaker is expressing their fears and concerns about presentations, indicating a need to be heard and understood.",0.5,-0.5,0,0,-1,-1,-1
"Yeah, that sounds great. Hope it goes well.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",0,0,"The utterance is a straightforward, fact-oriented exchange without seeking or providing empathy.",-1,1,1,1,-1,-1,-1
yeah that sounds terrible to have in your house. I hope it wasn't out there for too long.                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,0,2,The speaker is providing empathy by acknowledging the negative situation and expressing hope for a better outcome.,0.5,-0.5,1,0,1,0,-1
"I mean, how long has it been? Like it's probably worse in this heat. So I really hope it gets out soon.                                                                                                                                                                                                                                                                                                                                                                                                                                              ",0,0,"The utterance does not seem to be seeking or providing empathy. It seems to be a straightforward comment or question about a situation, possibly related to something like a power outage or a broken air conditioner.",-0.5,-0.5,2,0,-1,-1,-1
honestly I've been I've been the other I've been that person that's responding at four am yeah I hope they got a decent night's sleep                                                                                                                                                                                                                                                                                                                                                                                                                  ,2,2,The speaker is providing empathy by expressing their understanding of the situation and hoping for the other person's well-being.,0,0.5,2,1,-1,-1,-1
"Yeah, I mean it was probably a nice surprise in a way though, right?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",2,2,The speaker is trying to provide empathy by suggesting a positive perspective to the listener's situation.,-0.5,0.5,1,1,-1,0,0
"I think it's also supposed to be with Coke, but you can do it with Sprite. And the thing with Sprite is that it also has citrus, a little citrusy flavor to it, whereas Coke is just kind of like the sweet, syrupy kind of stuff. So I guess it depends on what you're looking for for the meat. also like the coke would give it a better color because the sprite it just kind of left it like gray but it tasted good it just wasn't like it didn't look good if that makes sense                                                                ",0,0,"The speaker is discussing their thoughts on using Coke or Sprite in a cooking context, which is a straightforward, fact-oriented exchange. There is no clear seeking or providing of empathy.",-1,1,1,1,-1,-1,-1
"That's super impressive and I mean I can't believe that someone has the time to write that many papers, be first and second author and do all of that. I can't imagine doing that myself. Do you think you could pull off something like that? I feel like you could. I feel like you have all the skills and the knowledge to do it. I mean, you've been doing this for so long. That's something that you probably could do, but would it be something that you wanted to do?                                                                      ",2,2,The speaker is providing empathy by acknowledging the other person's capabilities and encouraging them.,0.5,1,1,1,-1,-1,1
How did it survive boiling hot coffee? Like poured onto it? Like you're saying that it was like they poured around it and they knew it was there? Like I don't really see how else it could like really escape the the cup necessarily                                                                                                                                                                                                                                                                                                                 ,2,0,"The utterance is a straightforward question about a situation, not seeking or providing empathy.",-0.5,0,2,2,-1,-1,-1
"Yeah, it's kind of like just insanely gross. And did you like return the coffee or did you just like drink it still?                                                                                                                                                                                                                                                                                                                                                                                                                                 ",2,0,"The utterance is a straightforward exchange about an event, with no clear indication of seeking or providing empathy.",0.5,-0.5,1,0,-1,-1,0.5
"you tell them and get a free coffee? Like, I do think that they'd probably be fine with that if you said, hey, you know, a bug flew into my drink before I even could take it from you, before I even left the establishment.                                                                                                                                                                                                                                                                                                                        ",2,0,"The utterance is a straightforward, fact-oriented exchange where the speaker is giving advice or a suggestion. There is no explicit seeking or providing of empathy.",-0.5,0.5,1,1,-1,-1,-1
"Like, who cares if he's upset? right like he's gonna be he's gonna be hurting no matter what and what you're doing is setting your boundaries not setting not you're not like encroaching on his you're saying my boundaries are here i'm not comfortable with this i understand that you feel differently if this makes you upset then maybe it's something to think about whether you value a friendship where i don't hurt you or if you value a relationship where you're constantly getting hurt                                                ",2,2,The speaker is providing empathy by understanding the feelings of the other person and giving advice accordingly.,0.5,-0.5,1,0,1,1,1
"Yeah, I can understand how that would suck. I have never been able to relate to something like that. So yeah, all I can do is kind of imagine myself in your situation. I don't know what I would be doing either, just constantly stressed out, probably not sleeping well. Was that also affecting you? Did you find that you couldn't enjoy the normal things in your life because you were so just constantly in the back of your head worried about this kind of situation?                                                                     ",2,2,"The speaker is trying to understand and relate to the other person's situation, even though they haven't experienced it themselves. They are also asking specific questions to help the other person explore their feelings.",0.5,-0.5,1,0,1,1,1
"Yeah, and I mean there's something to be said for like once you get through that situation you kind of have the knowledge and the experience of like okay the next time it happens I know I can deal with it and I know I can get through it so you know there's also like that kind of aspect of like what doesn't kill you makes you stronger.                                                                                                                                                                                                     ",2,1,"The speaker is talking about their own experiences and emotions, indicating a need to be heard and understood. They are seeking empathy by sharing their struggles and how they have grown from them.",0.5,0.5,0,1,-1,-1,-1
"Yeah, yeah, that's pretty good. I mean, like, that's a lot of cooking, man. Like, 20 people's worth of food. I don't think no matter how much technology we have, that's still going to be a real pain in the butt to just kind of get through all of that. So that's cool. I mean, I'm glad that everyone enjoyed the food, at least.                                                                                                                                                                                                               ",2,2,The speaker is acknowledging the effort of the person they're talking to and expressing understanding of the difficulty of the task. They also express gladness that the effort was appreciated.,0.2,0.6,1,1,0,1,0
Was it expensive? I think unless the people are like helping chip in for the food if you're buying enough food for 20 people like that's got to be you know pretty sizable kind of like amount of money also it was it like a celebration or it was just kind of like meeting up with friends like what was the occasion?                                                                                                                                                                                                                              ,2,2,"The speaker is trying to understand the situation of the other person, asking specific questions to explore their feelings and situation.",-0.5,0.5,1,2,-1,-1,1
Did you end up like getting help from anyone else while cooking or it was just you solo kind of thing?                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,2,2,The speaker is providing empathy by showing interest in the listener's experience and asking a specific question about it.,-0.5,0.5,1,2,-1,-1,1
"Yeah, that's tough. Yeah, but I mean, like, at least the party, like, was saved. You know, you stepped in, kind of, like, put all the elbow grease in, and I hope your niece is happy and that just the rest went off without a hitch.                                                                                                                                                                                                                                                                                                               ",2,2,The speaker is providing empathy by acknowledging the effort the listener put into saving the party and expressing hope that the rest of the event went well.,0,1,1,1,0,1,0
What makes you so surprised about your brother being able to do so?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,0,2,"The utterance is a question directed at the person they're having a conversation with, aiming to understand their feelings better, which indicates providing empathy.",0,0,1,2,-1,-1,1
Well I guess at some point a man needs to find help to do it by himself.                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,0,1,"The speaker is expressing a need for help, which can be interpreted as seeking empathy.",0,-0.5,0,0,-1,-1,-1
"That's so amazing, your nephew. How long has he been playing football?                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",2,2,"The speaker is showing interest in the other person's nephew and his football playing, which is a form of providing empathy.",-0.5,1,1,1,-1,-1,0.5
it must be a very interesting experience for him like to experience the big stage such a young age would be I think would be a lot for his development too Do you think he has big chance for this event?                                                                                                                                                                                                                                                                                                                                              ,2,2,"The speaker is trying to understand and discuss the feelings and experiences of a third person, indicating an attempt to provide empathy.",0.5,0.5,2,1,-1,1,1
yeah I also hope all the best for him as well great for him to like challenge himself to be a very big challenge I think this is also a great time to improve his capabilities                                                                                                                                                                                                                                                                                                                                                                         ,2,2,The speaker is providing empathy by expressing hope and acknowledging the challenge the other person is facing.,0.5,1,2,1,-1,-1,-1
"Wow, I can really feel you man. I usually cook by myself and I already feel that sometimes it's a bit too much especially after a long day of working, coming back, having to cook just for yourself. It's already been tiring. I cannot imagine how you have to cook like seven people and it's not just one or two dishes, seven different dishes, different ingredients, everything. well, that must be a big pain                                                                                                                                ",2,2,The speaker is providing empathy by expressing understanding of the other person's situation and acknowledging the difficulty of it.,0.5,-0.5,1,0,1,1,0
"Yeah, I can see how you feel. I think that's also definitely a big problem. Living in a big family that you're having right now, seven people, all living together, everyone has different ideas. That's kind of unavoidable, I think, because everyone's different. How about you like asking everyone to agree with something beforehand like few days beforehand for example so that at least you have some preparations. I think that would help a little bit.                                                                                   ",2,2,The speaker is providing empathy by acknowledging the other person's feelings and offering a potential solution to their problem.,0,0,1,1,0,1,1
"Yeah that's true I mean it's your family members, people are closest to you so just be open I think they should be listening to you as well. If they care about you. And I believe in the end, you find the same voice in certain things. It's not like you're forcing everyone to eat the same thing, but maybe have at least some agreement. Like maybe eating chicken, just prepared differently. Not eating like someone eat fish, someone shrimp, someone beef, at the same time. That would be a nightmare.                                    ",2,2,The speaker is providing empathy by understanding the situation and giving advice on how to handle it.,0.2,0.6,1,1,-1,1,0
I think yeah that's true yeah I feel like also connections in the modern world kind of like fading away people have less and less and less time together like with all the things around like work going on too many connections like they're too easy to meet many people right now but it's feel more difficult to build like strong deeper connections that you can trust each other so something like that that you experience really rare and really something I wish I can cherish so everyone should be able to have such friends in their life ,2,1,"The speaker is expressing their feelings and thoughts about the difficulty of building deep, meaningful connections in the modern world. They are sharing their personal experiences and wishes, which indicates a need to be heard and understood.",0.5,-0.5,0,0,-1,-1,-1
"Wow, that's something that's something a surprise for me. Like for your order to come one week early, that's something not expected definitely. Usually we expect that they come either on time or in some case even later than they're supposed to be. And definitely that's something to be happy with. What did you buy anyway?                                                                                                                                                                                                                   ",2,2,The speaker is providing empathy by acknowledging the surprise and happiness of the other person's situation and asking a specific question about it.,0.5,1,1,1,-1,0,1
well that's even more impressive actually like sending everything across the continent in orders and in perfect conditions all that this guy really knows how to do business and well I guess they win a new customer from now on yeah I'm glad that you happy with your purchase                                                                                                                                                                                                                                                                      ,2,2,The speaker is providing empathy by acknowledging the other person's satisfaction with their purchase and expressing happiness for them.,0.5,1,1,1,0,0,-1
what an experience you have there yeah and it's like you said it's in the middle of the night right it must be everything is quiet and suddenly you hear the sound on your windows and was it in mexico                                                                                                                                                                                                                                                                                                                                                ,2,2,"The speaker is providing empathy by acknowledging the other person's experience and trying to understand it. They are also making a specific inference about the situation (""it must be everything is quiet and suddenly you hear the sound on your windows""), which shows a strong interpretation.",0.5,0.5,1,2,-1,1,0.5
yeah what an experience So did you check out what happened after that? Like did you check out the bat or call anyone?                                                                                                                                                                                                                                                                                                                                                                                                                                  ,2,2,The speaker is providing empathy by showing interest in the other person's experience and asking follow-up questions to understand better.,0,0,1,2,-1,-1,1
"yeah I know like Spooky experience, middle of the night with the bat.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",2,0,"The utterance is a straightforward comment about a past experience, without seeking or providing empathy.",0.5,-0.5,0,0,-1,-1,-1
"Oh, I didn't expect that to happen to you. Did he say or explain to you what happened? Or like he just completely forgot about it and just like let it slide by without saying any word?                                                                                                                                                                                                                                                                                                                                                             ",2,2,The speaker is showing understanding of the other person's situation and is asking specific questions to help them explore their feelings and situation further.,0.5,-0.5,1,0,-1,0,1
"Yeah, that sounds pretty weird, but why do you think he does that?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",0,2,The speaker is trying to understand the feelings of another person and acting accordingly by asking a question to explore the situation further.,-0.5,0,2,2,-1,-1,1
"Does he put back something in it or like, is it just always taking stuff from it?                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",0,0,The utterance is a straightforward question about someone else's actions. It does not seek or provide empathy.,-1,0,2,2,-1,-1,-1
"Yeah, that sounds horrible. It's pretty douchey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",0,2,"The speaker is acknowledging the negative experience of the other person, showing understanding and providing empathy.",0.5,-0.5,1,0,1,0,-1
Did you try clearing the cache of your browser?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,0,0,"The utterance is a straightforward, fact-oriented exchange without seeking or providing empathy.",-1,0,1,2,-1,-1,-1
