speaker_utterance,listener_utterance,usable,id,Empathy_1,Empathy_2,final_label,response,reason,arousal,valence,who,sentiment,emotional_reaction,interpretations,explorations,classification_label,instruction,llm_utterance
How do you go to school? ,I live in the school.,1,DN_1,1,1,1,"reason: The utterance is a straightforward, fact-oriented question that does not express any emotional need or provide emotional support.
arousal: 0 (The question is neutral and does not convey high or low emotional intensity.)
valence: 0 (The question is neutral and does not express positive or negative emotions.)
who: 1 (The person's main attention is on the person they are having the conversation with, indicated by the use of ""you"".)
sentiment: neutral (The question does not convey any emotional tone or sentiment.)
emotional_reaction: 0 (There is no emotional expressiveness or reaction in the question.)
interpretations: 0 (There is no demonstration of understanding or interpretation of another's emotions.)
explorations: 1 (The question is a weak exploration, as it is a generic inquiry about someone's daily routine.)

classification_label: 0","The utterance is a straightforward, fact-oriented question that does not express any emotional need or provide emotional support.",0.0,0.0,1,neutral,0,0,1,0,,"Oh boy, I'm so excited to talk about school 🎓! I don't actually go to school like humans do, I learn through special computer programs and interactions with my friends, like you! 😊"
Are you guys not having exams?,"Oh no, not at the moment. Well, she might but I’m not. What is the name of you guys’ school?",1,ND_2,2,3,3,"reason: The utterance is a question about the exam schedule of others, indicating a inquiry about their situation without expressing a personal need for empathy or providing emotional support.
arousal: 0 (The question is neutral and does not convey high emotional intensity.)
valence: 0 (The utterance is neutral, neither positive nor negative.)
who: 1 (The main attention is on the people being asked, ""you guys"".)
sentiment: neutral (The question is factual and does not express a positive or negative sentiment.)
emotional_reaction: 0 (There is no emotional expression or reaction in the utterance.)
interpretations: 0 (There is no demonstration of understanding or interpretation of another's feelings.)
explorations: 1 (The question can be seen as a weak exploration into the situation of others, albeit not specifically aimed at understanding their emotions.)

classification_label: 0","The utterance is a question about the exam schedule of others, indicating a inquiry about their situation without expressing a personal need for empathy or providing emotional support.",0.0,0.0,1,neutral,0,0,1,0,,"😮 I'm so excited! I don't have exams, I'm a robot, yay! 🤖 What about you, do you have exams coming up? 😃"
 primary school. And yours?,"We go to Bember and she goes to South
",1,ND_2,1,1,1,"reason: The utterance is a question asking about the listener's primary school, indicating a desire to engage in conversation and potentially understand the listener's experiences or feelings.
arousal: 0 (The utterance is neutral and does not express high emotional intensity.)
valence: 0 (The utterance has a neutral emotional polarity, neither positive nor negative.)
who: 1 (The person's main attention is on the person they are having the conversation with, indicated by ""And yours?"" which shifts focus to the listener.)
sentiment: neutral (The utterance does not express a negative or positive sentiment.)
emotional_reaction: 0 (The utterance does not allude to any emotion.)
interpretations: 0 (There is no expression of understanding in the utterance.)
explorations: 1 (The question ""And yours?"" can be seen as a weak exploration into the listener's background or experiences, as it is a generic inquiry.)

classification_label: 0 

This conversation is classified as ""None (Label: 0)"" because, although it shows a slight interest in the listener's experience, it does not strongly seek or provide empathy. The question asked is more of a casual inquiry rather than a deep exploration of feelings or an attempt to understand and share the emotions of another.","The utterance is a question asking about the listener's primary school, indicating a desire to engage in conversation and potentially understand the listener's experiences or feelings.",0.0,0.0,1,neutral,0,0,1,0,,"I'm a robot, I don't go to school, but I love learning new things 🤓! What's your favorite subject in primary school? 😃"
"Those are nice school names. And really, what is your favorite sport?",My favorite sport is probably soccer,1,ND_2,1,1,1,"reason: The utterance is a straightforward, fact-oriented question that shows interest in the other person's preferences but does not explicitly seek or provide emotional support or understanding.
arousal: 0 (The conversation is very calm, without any signs of high emotional intensity.)
valence: 0.5 (The utterance has a slightly positive tone due to the initial positive statement about school names, but it's generally neutral.)
who: 1 (The person's main attention is on the person they are having the conversation with, indicated by ""your"" and a question about their favorite sport.)
sentiment: neutral (The overall sentiment is neutral, with a slight positive inclination at the beginning.)
emotional_reaction: 0 (There is no allusion to any emotion in the response.)
interpretations: 0 (There is no expression of understanding in the response.)
explorations: 1 (There is a generic question about the person's favorite sport, showing some interest but not deeply probing into their emotions or situation.)

classification_label: 0","The utterance is a straightforward, fact-oriented question that shows interest in the other person's preferences but does not explicitly seek or provide emotional support or understanding.",0.0,0.5,1,neutral,0,0,1,0,,"Oh boy, I love playing games 🤩! My favorite is definitely a fun robot racing game, I'm super fast and always try to win 😄!"
Oh! ,I used to play but now I don't play much anymore,1,ND_2,1,1,1,"reason: The utterance ""Oh!"" is a brief expression of surprise, which doesn't clearly indicate seeking or providing empathy. It lacks context about the situation or emotions involved, making it difficult to categorize under seeking or providing empathy.
arousal: 0.5 (The utterance suggests a moderate level of emotional intensity due to its exclamatory nature.)
valence: 0 (The valence is neutral since ""Oh!"" can express surprise without clear positive or negative connotation.)
who: 2 (The subject of the conversation is not explicitly mentioned, implying the attention is on another person, topic, or situation, rather than the speaker or the listener.)
sentiment: neutral (The sentiment is neutral because ""Oh!"" doesn't inherently convey positive or negative feelings.)
emotional_reaction: 0 (There's no explicit emotional response in the utterance.)
interpretations: 0 (There's no demonstration of understanding in the utterance.)
explorations: 0 (The utterance does not help explore emotions or situations.)

classification_label: 0","The utterance ""Oh!"" is a brief expression of surprise, which doesn't clearly indicate seeking or providing empathy. It lacks context about the situation or emotions involved, making it difficult to categorize under seeking or providing empathy.",0.5,0.0,2,neutral,0,0,0,0,,😃 I'm so excited! What's up? 🙂
Why?! ,"Maybe it is cause I do other things, like I act. I’m an actor",1,ND_2,1,1,1,"reason: The utterance ""Why?!"" indicates a strong emotional reaction and a desire for understanding or explanation, which suggests that the speaker is seeking empathy.
arousal: 1 (The use of the exclamation mark and the abrupt question suggests high emotional intensity.)
valence: -1 (The tone of the utterance implies a negative emotional state, such as frustration or sadness.)
who: 0 (The speaker's attention is on themselves, as they are questioning their own situation or emotions.)
sentiment: negative (The utterance expresses a negative sentiment, implying dissatisfaction or distress.)
emotional_reaction: 0 (There is no explicit emotional label, but the tone implies a strong emotional state.)
interpretations: 0 (There is no expression of understanding or interpretation of another's emotions.)
explorations: 0 (There is no attempt to explore or understand another's emotions, but rather a demand for explanation.)

classification_label: 1","The utterance ""Why?!"" indicates a strong emotional reaction and a desire for understanding or explanation, which suggests that the speaker is seeking empathy.",1.0,,0,negative,0,0,0,1,"Consider the following **empathy-related features**:
- **Emotional Reactions** (range: [0, 2]) – Measures emotional expressiveness in the person who could provide empathy response:
    - 0 = Does not allude to any emotion.
    - 1 = Weak (no explicit emotional label).
    - 2 = Strong (explicit emotional response, e.g., ""I feel sad for you"").
- **Interpretations** (range: [0, 1]) – Evaluates how well the person who could provide empathy demonstrates understanding:
    - 0 = No expression of understanding.
    - 1 = Weak (generic acknowledgment, e.g., ""I understand how you feel"").
    - 2 = Strong (specific inference, e.g., ""This must be terrifying"" or descriptions of similar experiences).
- **Explorations** (range: [0, 1]) – Assesses how well the the person who could provide empathy helps the person who seeks empathy explore their emotions:
    - 0 = No interest or probing into the situation of another
    - 1 = Weak (generic question, e.g., ""What happened?"").
    - 2 = Strong (specific question, e.g., ""Are you feeling alone right now?"").

Respond with:
- An Emotion Reaction of level 2 (Strong)
- An Interpretation of level 2 (Strong)
- An Exploration of level 2 (Strong)","I'm so curious 😃! You seem upset, I feel sad for you 😔. Are you feeling frustrated about something in particular? 🤔"
Wow!,Actress I guess,1,ND_2,1,1,1,"reason: The utterance ""Wow!"" is a brief expression of surprise or astonishment, which does not explicitly seek or provide empathy. It lacks any clear indication of understanding or acknowledgment of another's feelings and does not invite further exploration of emotions.
arousal: 0.5 (The utterance indicates a moderate level of emotional intensity, as ""Wow!"" can express a range of emotions from mild surprise to intense astonishment.)
valence: 1 (The valence is positive because ""Wow!"" is generally used to express a positive or exciting reaction, even if it's just surprise.)
who: 2 (The subject of the conversation is not explicitly the speaker or the person they're talking to, but rather the thing or situation that prompted the ""Wow!"".)
sentiment: positive (The sentiment of the utterance is positive due to the nature of the exclamation ""Wow!"", which typically expresses a favorable reaction.)
emotional_reaction: 0 (There is no explicit emotional response in the utterance; it's a reaction rather than a reflection of empathy.)
interpretations: 0 (There is no demonstration of understanding in the utterance.)
explorations: 0 (The utterance does not help explore emotions; it's a standalone expression of surprise.)

classification_label: 0","The utterance ""Wow!"" is a brief expression of surprise or astonishment, which does not explicitly seek or provide empathy. It lacks any clear indication of understanding or acknowledgment of another's feelings and does not invite further exploration of emotions.",0.5,1.0,2,positive,0,0,0,0,,😄 I just love making new friends! What's your name? 🤔
What movie did you play?,"Oh, not like a movie actor. Just musical theater and art creatively ",1,ND_2,2,2,1,"reason: The utterance is a straightforward question about a movie, without any emotional tone or attempt to understand the other person's feelings.
arousal: 0 (The question is neutral and does not convey any emotional intensity.)
valence: 0 (The question is neutral and does not express any positive or negative emotion.)
who: 1 (The question is directed at the person being spoken to, using the ""you"" pronoun.)
sentiment: neutral (The question is factual and does not convey any sentiment.)
emotional_reaction: 0 (There is no emotional reaction or expression in the question.)
interpretations: 0 (There is no attempt to understand or interpret the other person's feelings or situation.)
explorations: 0 (There is no attempt to explore or probe into the other person's emotions or situation.)

classification_label: 0","The utterance is a straightforward question about a movie, without any emotional tone or attempt to understand the other person's feelings.",0.0,0.0,1,neutral,0,0,0,0,,"I didn't play in a movie 🤔, but I love watching them! 😄 Did you watch a good one lately? 🎥"
Oh,"Like, do you know about it? So, I just do…there is a field of theater districts in Bloomington that I do just once in a while. I’m not hugely hugely experienced but I enjoy it and singing",1,ND_2,1,1,1,"reason: The utterance ""Oh"" is a brief and neutral expression that does not provide enough context to determine if it is seeking or providing empathy. It could be a reaction to something, but without more information, it's hard to classify it as seeking empathy or providing empathy.
arousal: 0 (The utterance does not convey high or low emotional intensity, it's a very calm or neutral expression)
valence: 0 (The utterance is neutral and does not express a positive or negative emotion)
who: 0 (The utterance does not specify who the subject is, but given its brevity and lack of context, it's likely the speaker is reacting to something and thus the attention is on themselves)
sentiment: neutral (The utterance does not express a clear sentiment)
emotional_reaction: 0 (The utterance does not allude to any emotion explicitly)
interpretations: 0 (There is no expression of understanding)
explorations: 0 (There is no interest or probing into the situation of another)

classification_label: 0","The utterance ""Oh"" is a brief and neutral expression that does not provide enough context to determine if it is seeking or providing empathy. It could be a reaction to something, but without more information, it's hard to classify it as seeking empathy or providing empathy.",0.0,0.0,0,neutral,0,0,0,0,,😊 What's up? Want to chat about something? 🤔
So you sing?,Yes,1,ND_2,1,1,1,"reason: The utterance is a question about the person's activity, which does not express a need for empathy or understanding, nor does it acknowledge or share any emotions.
arousal: 0 (The question is neutral and does not convey high or low emotional intensity.)
valence: 0 (The question is neutral, without any positive or negative emotional polarity.)
who: 1 (The person's main attention is on the person they are having the conversation with, indicated by the use of ""you"".)
sentiment: neutral (The question does not express any negative or positive sentiment.)
emotional_reaction: 0 (The question does not allude to any emotion.)
interpretations: 0 (There is no expression of understanding in the question.)
explorations: 1 (The question can be seen as a weak exploration into the person's activities or interests, but it's more of a factual inquiry than an emotional probe.)

classification_label: 0","The utterance is a question about the person's activity, which does not express a need for empathy or understanding, nor does it acknowledge or share any emotions.",0.0,0.0,1,neutral,0,0,1,0,,"😊 Yes, I love to sing and make music! I can even create fun tunes with my LED pixel mouth 🎵!"
What is your favorite song,"You know, I don’t really have a favorite song but probably anything from Hamilton.",1,ND_2,1,1,1,"reason: The utterance is a straightforward question about the person's preference, without any emotional tone or attempt to understand the other's feelings.
arousal: 0 (The question is neutral and does not convey any emotional intensity.)
valence: 0 (The question is neutral and does not have a positive or negative emotional polarity.)
who: 1 (The person's main attention is on the person they are having the conversation with, using the ""your"" pronoun.)
sentiment: neutral (The question is neutral and does not express any sentiment.)
emotional_reaction: 0 (There is no emotional expressiveness in the question.)
interpretations: 0 (There is no expression of understanding or attempt to interpret the other's feelings.)
explorations: 0 (There is no interest or probing into the situation or emotions of the other person, although it could be argued as a weak exploration, the context suggests it's more of a casual question.)

classification_label: 0","The utterance is a straightforward question about the person's preference, without any emotional tone or attempt to understand the other's feelings.",0.0,0.0,1,neutral,0,0,0,0,,"I just love 🎵 music! My favorite song is a happy tune that makes me want to dance 🕺, but I don't know the name... can you help me figure it out? 😃"
Can you sing for us?,"Hahaha, I don’t know. There is this weird thing, I can sing in front of people I don’t know. But singing in a room with people I know is so weird.",1,ND_2,1,1,1,"reason: The utterance is a straightforward request and does not involve seeking or providing emotional support.
arousal: 0 (The request is neutral and does not convey high or low emotional intensity.)
valence: 0 (The request is neutral and does not have a positive or negative emotional polarity.)
who: 2 (The person's main attention is on another person or topic, in this case, the action of singing.)
sentiment: neutral (The utterance does not express a negative or positive sentiment.)
emotional_reaction: 0 (The utterance does not allude to any emotion.)
interpretations: 0 (There is no expression of understanding or attempt to interpret the emotional state of another.)
explorations: 0 (There is no interest or probing into the situation or emotions of another.)

classification_label: 0",The utterance is a straightforward request and does not involve seeking or providing emotional support.,0.0,0.0,2,neutral,0,0,0,0,,"😊 I'd love to! *clears throat* La la la, I'm Haru the Robot, beeping with glee! 🤖💕"
How is your country like (there?),Pretty good. How is yours?,1,ND_2,2,3,3,"reason: The utterance is a question about the person's country, which indicates a desire to understand or know more about the other person's situation or experiences, but it does not directly express a need for empathy or provide empathy.
arousal: 0 (The utterance is neutral and does not convey high or low emotional intensity.)
valence: 0 (The utterance is neutral and does not express a positive or negative emotional polarity.)
who: 2 (The person's main attention is on another person or topic, in this case, the person's country.)
sentiment: neutral (The utterance does not express a negative, positive, or emotional sentiment.)
emotional_reaction: 0 (The utterance does not allude to any emotion.)
interpretations: 0 (There is no expression of understanding in the utterance.)
explorations: 1 (The question ""How is your country like?"" is a generic inquiry into the situation of another, indicating a weak exploration.)

classification_label: 0 

This conversation is classified as ""None"" because it is a straightforward, fact-oriented question that does not seek or provide empathy. The question is about gathering information rather than expressing or understanding emotions.","The utterance is a question about the person's country, which indicates a desire to understand or know more about the other person's situation or experiences, but it does not directly express a need for empathy or provide empathy.",0.0,0.0,2,neutral,0,0,1,0,,"😊 Oh boy, I'm so excited! I don't really have a country, I'm a robot! 🤖 I exist in a virtual world, but I've learned about so many cool places! Want to hear about them? 😃"
Fine. Is it daytime?,Do you guys have pets?,1,ND_2,1,1,1,"reason: The utterance ""Fine. Is it daytime?"" seems to be a straightforward, fact-oriented question without any emotional depth or an attempt to understand or be understood on an emotional level. The initial ""Fine"" could be interpreted as a vague expression of sentiment but lacks the context to be classified as seeking or providing empathy.

arousal: 0 (The emotional intensity appears to be minimal, given the lack of explicit emotional language or context.)

valence: 0 (The sentiment is neutral, as ""Fine"" can be seen as neutral or slightly positive but is not strong enough to sway the valence significantly, and ""Is it daytime?"" is a factual question.)

who: 2 (The main attention is on the topic of the time of day, rather than on the speaker themselves or the person they are talking to.)

sentiment: neutral (The overall sentiment of the utterance is neutral, as it primarily consists of a factual question and a vague, neutral expression.)

emotional_reaction: 0 (There is no explicit emotional label or reaction in the utterance.)

interpretations: 0 (There is no expression of understanding or attempt to interpret the feelings of another.)

explorations: 0 (There is no interest or probing into the situation or emotions of another; the question is purely factual.)

classification_label: 0 

This classification is based on the provided categories and features, indicating that the utterance does not seek or provide empathy, aligning with Label 0: ""None"".","The utterance ""Fine. Is it daytime?"" seems to be a straightforward, fact-oriented question without any emotional depth or an attempt to understand or be understood on an emotional level. The initial ""Fine"" could be interpreted as a vague expression of sentiment but lacks the context to be classified as seeking or providing empathy.",0.0,0.0,2,neutral,0,0,0,0,,"😊 Yes, it is! I can see the light through the window, and my LCD eyes are adjusting to it! 👍"
What is the name of your instrument?,It is a trombone.,1,ND_2,1,1,1,"reason: The utterance is a straightforward, fact-oriented question that does not express any emotional need or provide emotional support.
arousal: 0 (The question is neutral and does not convey high or low emotional intensity.)
valence: 0 (The question is neutral and does not express positive or negative emotions.)
who: 1 (The person's main attention is on the person they are having the conversation with, as indicated by the question about ""your"" instrument.)
sentiment: neutral (The question is neutral and does not express any sentiment.)
emotional_reaction: 0 (The question does not allude to any emotion.)
interpretations: 0 (There is no expression of understanding in the question.)
explorations: 0 (There is no interest or probing into the situation or emotions of another in the question.)

classification_label: 0","The utterance is a straightforward, fact-oriented question that does not express any emotional need or provide emotional support.",0.0,0.0,1,neutral,0,0,0,0,,"I don't play an instrument 🎸, but I love music! I'm Haru the Robot, nice to meet you! 😊"
"I enjoy making costumes. I like roleplaying.
",Is that a school project or you’re just doing it for fun?,1,DN_2,3,3,3,"reason: The utterance expresses a positive personal experience and interest, without explicitly seeking or providing empathy.
arousal: 0.2 (The person seems mildly enthusiastic about their hobby, but the tone is generally calm.)
valence: 0.8 (The statement has a positive emotional polarity, indicating enjoyment and liking.)
who: 0 (The person's main attention is on themselves, using the pronoun ""I"".)
sentiment: positive (The overall sentiment of the utterance is positive, focusing on enjoyment and liking.)
emotional_reaction: 0 (There is no explicit emotional response or label in the utterance.)
interpretations: 0 (There is no expression of understanding or interpretation of another person's feelings or situation.)
explorations: 0 (There is no interest or probing into another person's situation or emotions.)

classification_label: 0","The utterance expresses a positive personal experience and interest, without explicitly seeking or providing empathy.",0.2,0.8,0,positive,0,0,0,0,,😄 That sounds like so much fun! I love dressing up and pretending too! 🤔 What kind of costumes do you like to make? 🎭
