text,label,revised_label,valence,arousal,sentiment,speaker_utterance,predictions_ER,predictions_IP,predictions_EX,classification_label,reason,who,emotional_reaction,interpretations,explorations
"I can't imagine, that's so disgusting yes",0,2,"-0.8 (indicating a very negative emotional polarity due to the use of ""disgusting"")",0.7 (indicating a moderately high emotional intensity due to the strong reaction to the situation),negative,this is a dummy text,0,0,0,2,"The utterance expresses a strong emotional reaction to a situation that is described as ""disgusting,"" indicating an empathetic response to someone else's negative experience.","1 (the focus is on the person being addressed, as the speaker is responding to their feelings)","2 (the phrase ""that's so disgusting"" shows a strong emotional response)","1 (there is a weak acknowledgment of the other person's feelings, but it lacks specific understanding)",0 (there is no probing or exploration of the other person's emotions)
I really can't imagine. I never want to try that.,0,2,"-0.5 (negative sentiment, reflecting discomfort or aversion)","0.2 (slightly aroused, indicating a mild emotional response)",negative,this is a dummy text,0,0,0,0,"The utterance expresses a personal reaction to a situation, indicating a lack of understanding or desire to engage with a challenging experience. It does not seek or provide empathy but rather states a personal boundary or feeling.",0 (the focus is on the speaker's own feelings),"1 (weak emotional response, as it does not explicitly label an emotion but conveys discomfort)",0 (no expression of understanding towards another's feelings),0 (no probing into the situation of another)
"Yes, me too. And where do you want to go if it's possible?",0,0,0.5,0.2,positive,this is a dummy text,0,1,1,2,"The utterance expresses a shared sentiment (""me too"") indicating a connection to the other person's feelings, followed by a question that invites further discussion about their desires, suggesting an interest in the other person's perspective.",1,1,1,1
I think that will be very interesting,0,0,0,0,neutral,this is a dummy text,0,0,0,0,"The utterance expresses a neutral observation about something being interesting, without indicating a need for empathy or providing it.",0,0,0,0
I could see how that's really depressing is there like any way you got over that?,2,2,-0.7,0.5,negative,this is a dummy text,0,0,2,2,"The utterance expresses understanding of the other person's feelings (""I could see how that's really depressing"") and also asks a question that encourages the other person to explore their emotions (""is there like any way you got over that?""). This indicates a provision of empathy.",1,1,1,1
"Yeah, I think that's a healthy way to think about it. Yeah, a lot of things in life is just... has to do with luck.",2,2,0,0,neutral,this is a dummy text,0,0,0,0,"The utterance reflects a perspective on life that acknowledges the role of luck, but it does not explicitly seek or provide empathy. It is more of a neutral observation rather than an emotional exchange.",0,0,0,0
"Yeah, I think so.",2,0,0,0,neutral,this is a dummy text,0,0,0,0,"The utterance ""Yeah, I think so."" is vague and does not express a clear emotional state or need for empathy. It does not indicate a desire for understanding or acknowledgment of feelings, nor does it provide any empathetic response to another person's emotions.",0,0,0,0
"You're very trustworthy of bugs. Like, how do you know that it's not like a spider that could harm you? Like, if it's hanging, it's like kind of far, right?",0,0,0,0,neutral,this is a dummy text,0,0,0,0,"The utterance expresses curiosity about the other person's feelings and thoughts regarding their trust in bugs, but it does not explicitly seek or provide empathy. It is more focused on questioning and exploring the other person's perspective without emotional engagement.",1,0,0,1
"That's really interesting, because if I saw any spider, I would probably just want to get rid of it at any cost. I probably wouldn't care if I had to kill it or not, because I would be too afraid that it would kill me or something.",0,0,-0.5 (negative sentiment due to fear of spiders),0.5 (moderately aroused due to the expression of fear),negative,this is a dummy text,0,2,0,0,"The utterance expresses a personal fear and reaction to spiders, indicating a focus on the speaker's own feelings rather than seeking or providing empathy to another person.",0 (the speaker is primarily focused on themselves),"1 (weak emotional response, as it expresses fear but does not explicitly label it)",0 (no expression of understanding towards another person's feelings),0 (no probing into another person's emotions or situation)
I think that's just really trusting of something that you don't really know how it thinks.,0,0,0.1,0.2,neutral,this is a dummy text,0,0,0,0,"The utterance expresses a concern about trust in an unknown entity, indicating a level of understanding of the other person's feelings or situation, but it does not explicitly seek or provide empathy.",1,0,1,0
"Oh god, that sounds terrifying. Did you ask for help? Did someone help them or did you just leave? What happened? And are you okay?",2,2,-0.5,0.5,negative,this is a dummy text,0,0,2,2,"The utterance expresses concern and understanding for the other person's feelings, indicating a strong emotional response to their situation. It also includes probing questions that encourage the other person to explore their emotions and experiences.",1,2,2,2
"Yeah, that's... I would hope that you'd never experience that again. I hope I'd never see that kind of thing happen. I hope they're okay. But yeah, good to know that you're doing okay.",2,2,0.5,0.5,positive,this is a dummy text,1,0,0,2,"The utterance expresses concern for the other person's well-being and acknowledges their experience, indicating a desire to provide empathy.",1,1,1,1
yeah i feel like i've never had luck with that either like usually i mean going for friends or friends is like one of the best ways um but like what kind of stuff did you do like was it fun,2,2,0.0,0.2,neutral,this is a dummy text,0,0,1,1,"The utterance expresses a shared experience of feeling unlucky in forming friendships and seeks to engage the other person by asking about their experiences, indicating a desire for connection and understanding.",1,1,1,1
Well that sounds like a really good first date. I think that's very surprising because I feel like usually first dates are very hit or miss,2,2,0.7,0.5,positive,this is a dummy text,0,1,0,0,"The utterance expresses a positive sentiment about a first date while acknowledging the common unpredictability of such experiences. However, it does not explicitly seek or provide empathy towards another person's feelings.",0,1,0,0
"Yeah, glad to hear it.",2,0,1,0,positive,this is a dummy text,1,0,0,0,The utterance expresses a positive acknowledgment but does not seek or provide deeper emotional engagement or understanding.,0,0,0,0
"Oh, that's really interesting. I've never thought of presentations like that. I'm always scared of them. Like, will it go well? What if I screw up? I always have in my mind something of a backup plan. If this goes wrong, then do this kind of thing. Yeah, that's really interesting to hear. I don't think I've ever heard someone say something like that before.",0,2,-0.5,0.5,negative,this is a dummy text,0,2,0,1,"The utterance expresses the speaker's personal feelings of fear and anxiety regarding presentations, indicating a desire to be understood and acknowledged. The speaker shares their own experiences and thoughts, which suggests a seeking of empathy.",0,1,1,1
"Yeah, that sounds great. Hope it goes well.",0,0,0.6,0.2,positive,this is a dummy text,1,0,0,0,The utterance expresses a positive sentiment towards someone else's situation but does not delve into emotional depth or provide empathy. It is more of a supportive statement without seeking or providing deeper emotional engagement.,1,0,0,0
yeah that sounds terrible to have in your house. I hope it wasn't out there for too long.,0,0,-0.5,0.5,negative,this is a dummy text,1,0,0,2,"The utterance expresses understanding and concern for the other person's situation, indicating a recognition of their negative feelings.",1,1,1,1
"I mean, how long has it been? Like it's probably worse in this heat. So I really hope it gets out soon.",0,0,-0.2,0.2,negative,this is a dummy text,0,1,2,0,"The utterance expresses concern about a situation that is likely causing discomfort due to heat, indicating a desire for relief and understanding of the situation. However, it does not explicitly seek empathy or provide it to another person.",0,1,0,0
honestly I've been I've been the other I've been that person that's responding at four am yeah I hope they got a decent night's sleep,2,2,0.5,0.2,positive,this is a dummy text,0,2,0,2,"The utterance reflects a personal experience of being in a similar situation, indicating an understanding of the feelings of others who may be responding late at night. It shows a level of empathy towards those individuals, suggesting a connection to their experience.",0,1,1,0
"Yeah, I mean it was probably a nice surprise in a way though, right?",2,2,0.5,0.2,positive,this is a dummy text,0,0,2,2,"The utterance reflects an attempt to reframe a potentially negative experience into a positive light, suggesting an understanding of the other person's feelings. However, it does not explicitly seek empathy or provide a strong emotional response.",1,1,1,1
"I think it's also supposed to be with Coke, but you can do it with Sprite. And the thing with Sprite is that it also has citrus, a little citrusy flavor to it, whereas Coke is just kind of like the sweet, syrupy kind of stuff. So I guess it depends on what you're looking for for the meat. also like the coke would give it a better color because the sprite it just kind of left it like gray but it tasted good it just wasn't like it didn't look good if that makes sense",0,0,0,0,neutral,this is a dummy text,0,0,0,0,"The utterance is primarily focused on discussing the differences between Coke and Sprite in terms of flavor and appearance, without expressing any emotional content or seeking emotional support.",0,0,0,0
"That's super impressive and I mean I can't believe that someone has the time to write that many papers, be first and second author and do all of that. I can't imagine doing that myself. Do you think you could pull off something like that? I feel like you could. I feel like you have all the skills and the knowledge to do it. I mean, you've been doing this for so long. That's something that you probably could do, but would it be something that you wanted to do?",2,2,0.8,0.5,positive,this is a dummy text,1,0,2,2,"The utterance expresses admiration for the other person's achievements and encourages them, indicating a supportive and understanding stance. The speaker acknowledges the other person's skills and knowledge while also probing into their feelings about taking on a challenging task.",1,1,1,2
How did it survive boiling hot coffee? Like poured onto it? Like you're saying that it was like they poured around it and they knew it was there? Like I don't really see how else it could like really escape the the cup necessarily,2,2,0,0,neutral,this is a dummy text,0,0,2,0,The utterance is focused on seeking clarification about a situation rather than expressing or acknowledging emotions. It does not demonstrate a desire for empathy or provide any empathetic response.,0,0,0,0
"Yeah, it's kind of like just insanely gross. And did you like return the coffee or did you just like drink it still?",2,2,-0.5,0.5,negative,this is a dummy text,0,0,2,0,"The utterance expresses a negative sentiment about a situation (describing something as ""insanely gross"") but does not explicitly seek or provide empathy. The second part of the utterance seems to inquire about the other person's actions regarding the coffee, which is more fact-oriented than empathetic.",1,1,0,1
"you tell them and get a free coffee? Like, I do think that they'd probably be fine with that if you said, hey, you know, a bug flew into my drink before I even could take it from you, before I even left the establishment.",2,2,0,0,neutral,this is a dummy text,0,0,0,0,The utterance appears to be discussing a situation where someone might be seeking a resolution or acknowledgment regarding a negative experience (a bug in a drink) but does not explicitly express a need for empathy or understanding. It is more focused on a hypothetical scenario rather than expressing personal feelings or emotions.,1,0,0,0
"Like, who cares if he's upset? right like he's gonna be he's gonna be hurting no matter what and what you're doing is setting your boundaries not setting not you're not like encroaching on his you're saying my boundaries are here i'm not comfortable with this i understand that you feel differently if this makes you upset then maybe it's something to think about whether you value a friendship where i don't hurt you or if you value a relationship where you're constantly getting hurt",2,2,0,0.5,neutral,this is a dummy text,0,0,0,2,The utterance expresses an understanding of the other person's feelings while also asserting the speaker's own boundaries. It acknowledges the other person's emotions but primarily focuses on the speaker's perspective and the need for boundaries in the relationship.,0,1,1,1
"Yeah, I can understand how that would suck. I have never been able to relate to something like that. So yeah, all I can do is kind of imagine myself in your situation. I don't know what I would be doing either, just constantly stressed out, probably not sleeping well. Was that also affecting you? Did you find that you couldn't enjoy the normal things in your life because you were so just constantly in the back of your head worried about this kind of situation?",2,2,-0.5,0.5,negative,this is a dummy text,1,1,0,2,"The utterance expresses an understanding of the other person's feelings and attempts to relate to their situation, indicating a strong empathetic response. The speaker acknowledges the difficulty of the situation and asks probing questions to explore the other person's emotions further.",1,1,1,2
"Yeah, and I mean there's something to be said for like once you get through that situation you kind of have the knowledge and the experience of like okay the next time it happens I know I can deal with it and I know I can get through it so you know there's also like that kind of aspect of like what doesn't kill you makes you stronger.",2,2,0.5,0.2,positive,this is a dummy text,1,0,0,0,"The utterance reflects a personal insight about overcoming challenges and gaining strength from difficult experiences, indicating a level of self-reflection and resilience. However, it does not explicitly seek or provide empathy towards another person.",0,1,0,0
"Yeah, yeah, that's pretty good. I mean, like, that's a lot of cooking, man. Like, 20 people's worth of food. I don't think no matter how much technology we have, that's still going to be a real pain in the butt to just kind of get through all of that. So that's cool. I mean, I'm glad that everyone enjoyed the food, at least.",2,0,0.2,0.1,neutral,this is a dummy text,1,1,0,0,"The utterance reflects a neutral observation about cooking for a large group and expresses a mild positive sentiment about others enjoying the food, but it does not seek or provide empathy.",0,0,0,0
Was it expensive? I think unless the people are like helping chip in for the food if you're buying enough food for 20 people like that's got to be you know pretty sizable kind of like amount of money also it was it like a celebration or it was just kind of like meeting up with friends like what was the occasion?,2,0,0,0,neutral,this is a dummy text,0,0,2,0,"The utterance is primarily focused on gathering information about a situation rather than expressing or seeking emotional understanding. It asks about the cost and the occasion for a gathering, indicating a fact-oriented conversation.",0,0,0,1
Did you end up like getting help from anyone else while cooking or it was just you solo kind of thing?,2,0,0,0,neutral,this is a dummy text,0,0,2,1,"The utterance is a question that seeks to understand the other person's experience while cooking, indicating an interest in their feelings and situation.",1,0,0,1
"Yeah, that's tough. Yeah, but I mean, like, at least the party, like, was saved. You know, you stepped in, kind of, like, put all the elbow grease in, and I hope your niece is happy and that just the rest went off without a hitch.",2,2,0.5,0.2,positive,this is a dummy text,1,1,0,2,"The utterance acknowledges the difficulty of the situation while also recognizing the positive outcome of the party being saved. It expresses understanding and support for the person being addressed, indicating a provision of empathy.",1,1,1,1
What makes you so surprised about your brother being able to do so?,0,0,0,0,neutral,this is a dummy text,0,0,2,1,"The utterance is a question directed at the other person, seeking to understand their feelings about their brother's actions. It shows an interest in the other person's emotional state and encourages them to explore their feelings.",1,0,1,1
Well I guess at some point a man needs to find help to do it by himself.,0,0,0,0,neutral,this is a dummy text,0,0,0,0,"The utterance reflects a sense of resignation and self-reliance, indicating a personal struggle but does not explicitly seek or provide empathy. It suggests an acknowledgment of the need for help but does not express a desire for understanding or connection with another person.",0,0,0,0
"That's so amazing, your nephew. How long has he been playing football?",2,2,0.6,0.2,positive,this is a dummy text,0,0,2,0,The utterance expresses interest in the other person's experience but does not seek or provide empathy. It is more of a fact-oriented question about the nephew's football playing duration.,1,0,0,1
it must be a very interesting experience for him like to experience the big stage such a young age would be I think would be a lot for his development too Do you think he has big chance for this event?,2,2,0.5,0.2,neutral,this is a dummy text,0,0,2,0,"The utterance expresses curiosity about another person's experience and development, indicating an interest in understanding their feelings and situation. However, it does not explicitly seek empathy or provide emotional support.",2,0,0,1
yeah I also hope all the best for him as well great for him to like challenge himself to be a very big challenge I think this is also a great time to improve his capabilities,2,2,1,0.5,positive,this is a dummy text,1,0,0,0,"The utterance expresses a positive sentiment towards someone else's challenges and growth, indicating a supportive attitude. However, it does not explicitly seek or provide empathy, as it focuses more on the speaker's perspective and observations rather than engaging with the feelings of another person.",2,1,0,0
"Wow, I can really feel you man. I usually cook by myself and I already feel that sometimes it's a bit too much especially after a long day of working, coming back, having to cook just for yourself. It's already been tiring. I cannot imagine how you have to cook like seven people and it's not just one or two dishes, seven different dishes, different ingredients, everything. well, that must be a big pain",2,2,-0.5,0.5,negative,this is a dummy text,1,2,0,2,"The utterance expresses understanding and shared feelings regarding the challenges of cooking for multiple people, indicating a strong empathetic response to the other person's situation.",1,2,2,1
"Yeah, I can see how you feel. I think that's also definitely a big problem. Living in a big family that you're having right now, seven people, all living together, everyone has different ideas. That's kind of unavoidable, I think, because everyone's different. How about you like asking everyone to agree with something beforehand like few days beforehand for example so that at least you have some preparations. I think that would help a little bit.",2,2,0.5,0.2,positive,this is a dummy text,1,1,0,2,"The utterance expresses understanding of the other person's feelings about living in a big family and acknowledges the challenges that come with it. It also offers a suggestion to help manage the situation, indicating a supportive and empathetic response.",1,1,1,1
"Yeah that's true I mean it's your family members, people are closest to you so just be open I think they should be listening to you as well. If they care about you. And I believe in the end, you find the same voice in certain things. It's not like you're forcing everyone to eat the same thing, but maybe have at least some agreement. Like maybe eating chicken, just prepared differently. Not eating like someone eat fish, someone shrimp, someone beef, at the same time. That would be a nightmare.",2,2,0.5,0.2,positive,this is a dummy text,1,0,0,2,"The utterance expresses an understanding of the importance of family dynamics and communication, suggesting that the speaker is providing empathy by acknowledging the feelings of the person they are addressing. The speaker emphasizes the need for openness and agreement among family members, which indicates a supportive stance.",1,1,1,1
I think yeah that's true yeah I feel like also connections in the modern world kind of like fading away people have less and less and less time together like with all the things around like work going on too many connections like they're too easy to meet many people right now but it's feel more difficult to build like strong deeper connections that you can trust each other so something like that that you experience really rare and really something I wish I can cherish so everyone should be able to have such friends in their life,2,2,-0.2,0.5,negative,this is a dummy text,0,2,0,1,"The utterance expresses a personal reflection on the challenges of forming deep connections in the modern world, indicating a desire for understanding and recognition of these feelings.",0,1,1,1
"Wow, that's something that's something a surprise for me. Like for your order to come one week early, that's something not expected definitely. Usually we expect that they come either on time or in some case even later than they're supposed to be. And definitely that's something to be happy with. What did you buy anyway?",2,2,0.8,0.5,positive,this is a dummy text,0,1,0,0,"The utterance expresses surprise and happiness about the early arrival of an order, indicating a positive emotional response. The speaker is engaging with the other person by asking about their purchase, which shows interest in their experience. However, it does not explicitly seek or provide empathy regarding any negative feelings.",1,1,0,1
well that's even more impressive actually like sending everything across the continent in orders and in perfect conditions all that this guy really knows how to do business and well I guess they win a new customer from now on yeah I'm glad that you happy with your purchase,2,2,1,0.5,positive,this is a dummy text,1,0,0,0,"The utterance expresses a positive sentiment about a business transaction and acknowledges the other person's happiness with their purchase, but it does not seek or provide empathy in a meaningful way.",1,1,1,0
what an experience you have there yeah and it's like you said it's in the middle of the night right it must be everything is quiet and suddenly you hear the sound on your windows and was it in mexico,2,2,0,0.5,neutral,this is a dummy text,1,0,0,2,"The utterance reflects an understanding of the other person's experience and acknowledges the context of their situation, indicating a connection to their feelings.",1,1,1,1
yeah what an experience So did you check out what happened after that? Like did you check out the bat or call anyone?,2,2,0,0,neutral,this is a dummy text,0,0,2,0,The utterance appears to be more focused on seeking information about the other person's experience rather than expressing or acknowledging emotions. It does not show a clear desire for empathy or an understanding of the other person's feelings.,1,0,0,1
"yeah I know like Spooky experience, middle of the night with the bat.",2,2,-0.2 (the experience is somewhat negative due to the context of fear associated with a bat),0.5 (indicates a moderate level of emotional intensity due to the mention of a spooky experience),negative (the sentiment is negative due to the spooky nature of the experience),this is a dummy text,1,0,0,0,"The utterance reflects a personal experience that may evoke a sense of shared understanding or recognition of a spooky situation, but it does not explicitly seek or provide empathy.",0 (the focus is on the speaker's own experience),1 (there is a weak emotional response as the speaker acknowledges the spookiness),0 (there is no expression of understanding towards another person's feelings),0 (there is no probing into the feelings or situation of another person)
"Oh, I didn't expect that to happen to you. Did he say or explain to you what happened? Or like he just completely forgot about it and just like let it slide by without saying any word?",2,2,0,0.5,neutral,this is a dummy text,0,0,2,1,"The utterance expresses surprise at the other person's experience and seeks to understand the situation better by asking questions about what happened. This indicates a desire to explore the other person's feelings and emotions, which aligns with seeking empathy.",1,1,1,2
"Yeah, that sounds pretty weird, but why do you think he does that?",0,0,0,0,neutral,this is a dummy text,0,0,2,0,"The utterance expresses curiosity about another person's behavior, indicating a desire to understand the situation better. However, it does not explicitly seek empathy or provide emotional support.",1,0,0,1
"Does he put back something in it or like, is it just always taking stuff from it?",0,0,0,0,neutral,this is a dummy text,0,0,2,0,"The utterance is a straightforward inquiry about a specific action or behavior, lacking emotional content or a desire for empathy.",0,0,0,0
"Yeah, that sounds horrible. It's pretty douchey",0,2,-0.7 (indicates a negative emotional polarity),0.5 (indicates moderate emotional intensity),negative,this is a dummy text,0,0,0,2,"The utterance expresses a negative sentiment towards a situation, indicating an understanding of the other person's feelings, which aligns with providing empathy.",1 (the focus is on the person being spoken to),1 (there is a weak emotional response to the situation),1 (there is a generic acknowledgment of the other person's feelings),0 (there is no probing into the other person's emotions)
Did you try clearing the cache of your browser?,0,0,0,0,neutral,this is a dummy text,0,0,2,0,"The utterance is a straightforward suggestion related to troubleshooting a technical issue, lacking any emotional content or empathetic engagement.",0,0,0,0
"Sometimes that causes some issue, but like you can always try that. But yeah, like what network are you using?",0,0,0,0,neutral,this is a dummy text,0,0,2,0,The utterance is primarily focused on providing information and asking a question about the network being used. It does not express or seek emotional understanding or connection.,0,0,0,1
How much are you paying for it?,0,0,0,0,neutral,this is a dummy text,0,0,2,0,The utterance is a straightforward inquiry about a financial matter and does not express or seek emotional understanding.,0,0,0,0
"Then I guess you have like a cheap network man, get it upgraded.",0,0,0,0,neutral,this is a dummy text,0,0,0,0,The utterance is a straightforward suggestion regarding upgrading a network and does not express or seek empathy.,0,0,0,0
"Good for you, good for you man.",0,0,1,0.5,positive,this is a dummy text,1,0,0,2,"The utterance ""Good for you, good for you man"" expresses a positive sentiment towards someone else's achievement or situation, indicating a form of acknowledgment and support. However, it does not delve into the emotional state of the speaker or the recipient, nor does it seek to explore deeper feelings.",1,1,1,0
"Yeah, that's great to hear, like you have a positive outlook on life.",0,0,1,0.5,positive,this is a dummy text,1,0,0,2,"The utterance acknowledges and appreciates the other person's positive outlook, indicating an understanding of their feelings and emotions.",1,1,1,0
How is that possible like you always like snooze it five to ten times before you actually like wake up? Did you sleep early tonight or yesterday or what?,0,0,0.1,0.2,neutral,this is a dummy text,0,0,2,1,"The utterance expresses curiosity about the other person's sleeping habits and implies a concern for their well-being, indicating a desire to understand their situation.",1,0,1,1
Maybe you ate something weird yesterday that's why sometimes stomach problems can cause people to have weird sleep-sick schedules or something.,0,0,0,0,neutral,this is a dummy text,0,0,0,0,The utterance provides a possible explanation for the person's symptoms but does not express understanding or acknowledgment of their feelings. It is more factual and does not seek or provide empathy.,0,0,0,0
"Okay. By the way, what did you eat yesterday? Did you drink a lot of coffee?",0,0,0,0,neutral,this is a dummy text,0,0,2,0,"The utterance is focused on asking about the other person's activities and preferences, which indicates a lack of emotional engagement or acknowledgment of feelings. It does not seek or provide empathy.",1,0,0,0
There you have it.,0,0,0,0,neutral,this is a dummy text,0,0,0,0,"The utterance ""There you have it."" is a straightforward statement that does not express a desire for empathy or provide empathy to another person. It appears to be a conclusive remark rather than an emotional or empathetic engagement.",0,0,0,0
did you get home before the storm or like did you end up actually being in the storm and lightning is pretty scary man,0,2,-0.5 (negative sentiment due to the mention of fear associated with the storm),0.5 (moderately aroused due to the mention of a storm and lightning),negative,this is a dummy text,0,0,2,1,"The utterance expresses concern for the other person's experience during a storm, indicating a desire to understand their situation and feelings about it.","1 (the focus is on the other person, asking about their experience)","1 (weak emotional response, acknowledging the fear of lightning)","1 (generic acknowledgment of the situation, but not deeply specific)",1 (a weak probing question about the person's experience during the storm)
Do you know of any incidents where it happened in real life?,0,0,0,0,neutral,this is a dummy text,0,0,2,0,The utterance is a straightforward inquiry about real-life incidents and does not express or seek emotional understanding or connection.,2,0,0,0
wait like so you can survive when you get stuck by lightning,0,0,0,0,neutral,this is a dummy text,0,0,0,0,The utterance does not express a desire for empathy or provide empathy; it appears to be a factual statement about survival in a specific situation.,0,0,0,0
oh that's surprising,0,0,0 (neutral),0 (neutral),neutral,this is a dummy text,0,0,0,0,"The utterance ""oh that's surprising"" does not express a desire for empathy or provide empathy to another person. It is a neutral observation that does not engage with emotions or feelings.",0 (the focus is on the speaker's reaction),0 (does not allude to any emotion),0 (no expression of understanding),0 (no interest or probing into the situation of another)
"What? See, like what do you mean you couldn't catch it? Like how strong was the wind?",0,0,0,0,neutral,this is a dummy text,0,0,2,0,The utterance is focused on seeking clarification about a situation rather than expressing or acknowledging emotions. It does not indicate a desire for empathy or an understanding of feelings.,0,0,0,1
What bill was it like was it like small bill or a big bill?,0,0,0,0,neutral,this is a dummy text,0,0,2,0,"The utterance is focused on clarifying the size of a bill, which indicates a straightforward inquiry rather than an expression of feelings or emotions.",0,0,0,0
"Yeah, losing money no matter how small or how little is kind of sad",0,0,-0.5 (negative sentiment due to the mention of sadness),0.2 (slightly aroused due to the expression of sadness),negative,this is a dummy text,0,1,0,1,"The utterance expresses a personal feeling of sadness related to losing money, indicating a desire for acknowledgment of that negative emotion.",0 (the focus is on the speaker's own feelings),"1 (weak emotional response, as it expresses sadness but does not elaborate)",0 (no expression of understanding from another person),0 (no probing into the situation of another)
"You have a good group of friends, man. My friends are like the opposite of that.",0,2,-0.5,0.2,negative,this is a dummy text,0,0,0,1,"The utterance expresses a contrast between the speaker's positive view of the listener's friends and their own negative experience with friends, indicating a desire for understanding and connection regarding their feelings.",0,1,1,1
"I don't know, man. I just somehow get attracted to people who are mean and stuff.",0,0,"-0.5 (negative, reflecting discomfort with the situation)","0.2 (slightly aroused, indicating some emotional engagement)",negative,this is a dummy text,0,1,0,1,"The utterance expresses a personal struggle with attraction to negative traits in others, indicating a desire for understanding and acknowledgment of these feelings.",0 (the focus is on the speaker's own feelings),"1 (weak emotional expression, as it hints at confusion and discomfort)",0 (no clear expression of understanding from another person),0 (no probing into the situation or feelings of the speaker)
I think so too.,0,0,0,0,neutral,this is a dummy text,0,2,0,0,"The utterance ""I think so too"" indicates agreement but does not express a desire for empathy or provide empathetic understanding. It is a straightforward acknowledgment without emotional depth or exploration.",0,0,0,0
"Yeah, best moments ever when you just go through something or you spend lots of time on something and you just actually finally make it through. It's really, really nice.",2,2,1,0.5,positive,this is a dummy text,0,0,0,1,"The utterance expresses a positive sentiment about overcoming challenges and achieving success, indicating a shared experience that could resonate with others. It reflects a personal experience that may invite empathy from listeners.",0,1,1,1
