text,label,revised_label,valence,arousal,sentiment,speaker_utterance,predictions_ER,predictions_IP,predictions_EX,classification_label
"Wow. It's like something happened. These kind of things happen only in the movies. It's like wow. I'd be also so scared if that happens to me. So do you think it actually happened? So, you think it was actually a ghost?",0,2,0.259454545454545,-0.0281818181818182,negative,this is a dummy text,0,2,2,2
what did you do are you okay,0,2,0.34,0.096,neutral,this is a dummy text,0,0,1,2
I understand I do the same like at least for for a while just a point going the same place where this weird thing happened it's hopefully nothing bad like that is gonna happen to you again,0,2,0.0884,-0.1482,neutral,this is a dummy text,0,2,0,2
"Yeah, this kind of thing sometimes happens. Is there someone you think that has a grudge on you or something?",0,2,0.134,-0.2415,negative,this is a dummy text,0,1,2,2
it was bad dangerous an accident could happen because of that I'd be angry too,0,2,-0.5724,0.5896,negative,this is a dummy text,0,2,0,0
I'm sorry to hear that,0,2,0.166,-0.209,negative,this is a dummy text,2,0,0,0
Great news? I'm happy for her. I'm sure that she was great at her previous job and I am sure she will continue to be like really good in this new avenue and she's so so brave.,2,2,0.53725,-0.067625,positive,this is a dummy text,1,1,0,2
So that's the reason for her changing careers she wanted to actually help people?,2,2,0.3476,0.0428,neutral,this is a dummy text,0,0,2,2
It's an inspiring story. It's great that she could be able to just like that change career into something that she really loves. I'm inspired.,2,2,0.612,0.108,positive,this is a dummy text,1,1,0,2
"It's awesome. I'm glad that your, what do you say, your daughter finished college?",0,2,0.507714285714286,0.0811428571428572,positive,this is a dummy text,1,0,2,2
oh yeah your sister yes I also have a younger brother and he's in college now,0,2,0.626,-0.232,neutral,this is a dummy text,0,2,0,0
"Yes, he also needs to pay the rent.",0,0,-0.088,0.0606666666666667,neutral,this is a dummy text,0,1,0,0
yeah it sounds very interesting you know you can leave just not after work you can leave right now maybe yeah looking forward to hearing the result and I hope your the boxer from your country will win,2,2,0.42325,-0.048125,positive,this is a dummy text,1,0,0,2
"Yeah, it does sound exciting. Do you also play boxing?",2,2,0.4016,0.348,positive,this is a dummy text,0,0,2,2
"Yeah, yeah, thank you and I hope again I hope your boxer will win the final and I hope you enjoy the show tonight.",2,2,0.569777777777778,0.0842222222222223,positive,this is a dummy text,1,0,0,0
I'm sorry to hear that but I also don't know what to do for you. Sorry.,0,0,0.1685,-0.243,negative,this is a dummy text,2,0,0,2
"Yeah, that sounds... Well, I'm sorry for it, but have you ever talked to him in person? Or did you talk to the management company yourself? I think you should try to talk to them before deciding moving.",0,2,0.419454545454546,-0.0950909090909091,negative,this is a dummy text,2,0,2,2
that sounds scary night. Yeah it must be scary. Were you driving alone or with someone?,2,2,-0.257333333333333,0.157333333333333,negative,this is a dummy text,0,0,2,2
"Yeah, one thing I could recommend you do, didn't you check the weather forecast before you're going or, well, or you better check the destination. Like you said it was your first time, then maybe you could check the route more closely. Maybe.",2,2,0.259857142857143,-0.150714285714286,neutral,this is a dummy text,0,0,0,2
"Yeah, please do so. We are worried if you get injured or get an accident. So I hope you enjoy the next time.",2,2,0.068,0.2325,positive,this is a dummy text,1,0,0,0
yeah that's disgusting but I think you were caring too much maybe? Or did you ask the staff at the gym?,0,0,0.121,0.0256666666666667,negative,this is a dummy text,0,0,2,2
"Yes, that is the only thing I think I can tell you. And you know,. do not forget to bring your own drink. Maybe from next time.",0,0,0.203111111111111,-0.248222222222222,positive,this is a dummy text,0,0,0,2
yeah but you know practice more and I you know I hope you do well but you know just you know be ready and get more practice for that.,0,0,0.507,-0.109,positive,this is a dummy text,1,0,0,0
"Yes, remember last time you had the same situation and on that day you were so confident but then you forgot something to tell. So we don't want you to repeat that kind of thing. So just relax and try to your best and we hope it will be a success.",0,0,0.411866666666667,-0.189466666666667,neutral,this is a dummy text,1,0,0,2
well yeah I don't well I don't know what to say to you but you were very surprised,0,0,0.413333333333333,0.0173333333333333,negative,this is a dummy text,2,0,0,0
"Yeah, it sounds like your cousin, maybe rich enough to buy but sorry I can't tell you more.",0,0,0.362571428571428,-0.0062857142857142,neutral,this is a dummy text,0,0,0,2
I'm sorry to hear but why don't you just you know go home and get some rest and so that you get recovered or you try not to think too much.,2,2,0.4144,-0.1646,neutral,this is a dummy text,2,0,0,2
or if you have a male friend maybe you know you can talk to him and you know maybe he will understand your situation but sorry I don't that's the only thing I can tell you from my side,0,0,0.312,-0.288428571428571,neutral,this is a dummy text,0,0,0,2
"I think there are many bosses that don't want their workers to improve. and maybe your situation is not rare, probably very common. So in this case, maybe it's better that you do your own research or ask some friends for advices like me and then you can get recommendations about how you can improve. Because I also have had bosses that they don't help me at my work. So I think it's kind of common situation.",0,0,0.31552,-0.11936,neutral,this is a dummy text,1,0,0,2
yes and I don't have the any other recommendation,0,0,0.669,-0.223,neutral,this is a dummy text,0,0,0,0
so do you live with your girlfriend,2,0,0.508,0.322666666666667,neutral,this is a dummy text,0,0,2,0
